question,answer
What happens when trying to add a new secure address to a bridge domain if it would exceed the maximum number of addresses allowed?,"To prevent the maximum number of secure addresses from being exceeded, Cisco IOS has a built-in mechanism that removes an existing dynamically learned address on the service instance when adding a new address would cause the count to exceed the maximum. This is controlled by the `max-secure-addresses` command.

Here's an example of how to configure this on a Cisco Catalyst switch:

```cisco
Router(config)# interface vlan 10
Router(config-if)# bridge-domain 100
Router(config-if)# mac-address-table max-secure-addresses 500
```

In this example, the `max-secure-addresses` command sets the maximum number of secure addresses to 500. If an attempt is made to add a new address that would exceed this limit, an existing dynamically learned address will be removed from the MAC address table to prevent the count from exceeding the maximum."
How can I prevent unauthorized devices from accessing a service instance by implementing a MAC Address Deny List?,"To implement a MAC Address Deny List and prevent unauthorized devices from accessing a service instance, you can use the `mac address deny` command in Cisco IOS. This command allows you to configure one or more denied MAC addresses for a service instance that is part of a bridge domain.

Here's an example of how to do it:
```cisco ios
bridge domain bd1
  mac address deny 00:11:22:33:44:55
!
```
In this example, the `mac address deny` command is used to configure the MAC address `00:11:22:33:44:55` as a denied address on the bridge domain `bd1`. This means that any device with this MAC address will not be allowed to access the service instance.

Before configuring a denied address, the system performs a test to ensure that the address is not already configured as a permitted address or learned and saved as a sticky address on the service instance. If the address has been previously configured in one of these ways, the configuration will be rejected."
What is the maximum number of secured MAC addresses that can be added to a bridge domain service instance on Cisco IOS devices?,"The upper limit for the number of secured MAC addresses on a bridge domain service instance includes both addresses added as part of a permit list and dynamically learned MAC addresses. This limit is controlled by the `max-mac-entries` command, which can be configured using the following syntax:
```
bridge-domain <domain_id> permit-list max-mac-entries <value>
```
For example:
```
Router(config)# bridge-domain 100 permit-list max-mac-entries 2048
```
This sets the maximum number of secured MAC addresses to 2048 on bridge domain service instance 100."
What is the maximum number of MAC addresses that can exist in the MAC table for a service instance with MAC security enabled?,"The maximum number of MAC addresses that can exist in the MAC table for a service instance with MAC security enabled can be configured using the ""mac address-table static"" command. By default, there is no limit to the number of statically configured and dynamically learned (including sticky) addresses.

However, if the maximum number of MAC addresses is not explicitly configured, it will be limited to one address in the associated permit list when MAC security is enabled. If there is no associated permit list, only one dynamic MAC address can be learned.

To set a specific limit for the maximum number of MAC addresses, you can use the following command:

```
service-instance <service-name> mac-learn-limit <number>
```

For example:

```
service-instance si1 mac-learn-limit 100
```

This sets the maximum number of MAC addresses that can be learned dynamically (including sticky) to 100 for the service instance ""si1"".

Note: The above command is applicable only in Cisco Catalyst 6500 and 4500 series switches."
What is the maximum number of MAC addresses allowed on a bridge domain in this configuration?,"To find the maximum number of MAC addresses allowed on a bridge domain, we can look at the Bridge Domain configuration. In this case, the MACAddressLimit is set to 1000. Therefore, the maximum number of MAC addresses allowed on a bridge domain is:

`bridge domain <domain-name> mac-address-limit 1000`

This setting applies to all service instances that belong to this bridge domain."
What is the maximum count of addresses that can be configured for service instance 1003 in the MAC security feature?,"To set the maximum count of addresses for service instance 1003, we can use the following Cisco IOS command:
```
mac address-table static 35
```
This command sets the maximum number of statically learned MAC addresses to 35.

Note: The `mac address-table` command is used to configure the MAC security feature and set the maximum count of addresses for service instance 1003."
What is the maximum number of dynamic secure addresses that can be allocated in a bridge domain when MAC Move and MAC Locking are enabled?,"According to Cisco documentation, there is no specific configuration detail provided regarding this requirement. However, we can infer from the given requirement that the dynamic secure address count limitation is 20.

In Cisco IOS code, the relevant command for configuring MAC Move and MAC Locking on a bridge domain would be:

`bridge-domain <domain-id> mac-move enable`
`bridge-domain <domain-id> mac-locking enable`

The maximum number of dynamic secure addresses can be allocated using the `security-association-limit` command under the bridge domain configuration. For example:

```
bridge-domain 10
 security-association-limit 20
```

Please note that this is an inferred answer based on the given requirement and not specific to a particular Cisco device or IOS version."
How can we configure all service instances within the same bridge-domain as secured service instances?,"To configure all service instances within the same bridge-domain as secured service instances, you can use the following Cisco IOS command:
```
bridge domain <name> instance-type secure
```
This command sets the instance type of a bridge domain to ""secure"", which means that all services instances within that bridge domain will be secured.

Example:
```
Router# configure terminal
Router(config)# bridge domain my_bridgedomain instance-type secure
```
Note: This configuration is specific to VXLAN (Virtual Extensible LAN) technology, and it requires a Cisco Nexus 9000 or later platform."
How can we ensure that dynamically learned MAC addresses on secured service instances remain permanent even after interface transitions or device reloads?,"To make dynamically learned MAC addresses on secured service instances permanent, you can use the `mac security sticky` command. This command allows you to configure a sticky MAC address configuration, which ensures that the dynamically learned MAC addresses are not lost when the interface transitions or the device is reloaded.

Here's an example of how you can use this command in Cisco IOS:

Router(config)# mac security sticky

This command enables the sticky MAC address feature for all interfaces on the router. You can also configure sticky MAC address per-interface basis using the following command:

Router(config-if)# mac security sticky

For example, to enable sticky MAC addresses on a specific interface:

Router(config-if)# interface GigabitEthernet0/1
Router(config-if)# mac security sticky

By configuring sticky MAC addresses using the `mac security sticky` command, you can ensure that dynamically learned MAC addresses remain permanent even after interface transitions or device reloads."
What happens when we disable MAC Security on a Service Instance?,"To disable MAC Security on a Service Instance, you can use the following command:
```
service-instance <si_name> mac-security disable
```
This will stop the processing of incoming packets based on the MAC table entries. Existing entries in the MAC table remain intact and are not purged.

Note that when disabling MAC Security, the aging timer for all entries is disabled as well, to prevent any existing entries from being aged out prematurely.

Example:
```
Router# configure terminal
Router(config)# service-instance si1 mac-security disable
Router(config)#
```
In this example, we are disabling MAC Security on a Service Instance named `si1`. The existing MAC table entries will not be purged and the aging timer for all entries will be disabled."
How can I enable MAC address security on a service instance?,"To enable MAC address security on a service instance, follow these steps:

1. Enable MAC address security:
```
enable
```

2. Configure terminal mode:
```
configure terminal
```

3. Specify the interface type and number:
```
interface type number
```

4. Identify the service instance:
```
service instance id
```

5. Define the Ethernet sub-interface:
```
  ethernet
```

6. Set the encapsulation to Dot1Q VLAN ID:
```
encapsulation dot1q vlan-id
```

7. Configure the bridge domain and bridge ID:
```
bridge-domain bridge-id
```

8. Enable MAC security:
```
mac security
```

9. End the configuration:
```
end
```

Here's an example of the entire command sequence:

```
enable
configure terminal
interface dot1Q 100
service instance 10
  ethernet
encapsulation dot1q 200
bridge-domain 3000
bridge-id 5000
mac security
end
```

Please note that this is a simulated scenario, and actual commands may vary depending on your specific Cisco IOS version and configuration."
How can you configure a port channel group number and enter interface configuration mode?,"Device# configure terminal; interface port-channel <channel-group-number>

For example:
```
Device# configure terminal
Device(config)# interface port-channel 10
```

This command configures the specified port channel group number (in this case, `10`) and enters interface configuration mode."
What Cisco IOS command can you use to map ingress Dot1Q frames to the appropriate service instance?,"You can use the following Cisco IOS command:

`encapsulation dot1q vlan-id`

This command is used to specify the VLAN ID that will be used to map ingress Dot1Q frames to the appropriate service instance. For example:

```
interface FastEthernet0
  encapsulation dot1q 100
!
```

In this example, any incoming Dot1Q frames with a VLAN ID of 100 will be mapped to the corresponding service instance."
How do you configure an ingress dot1q frame on an interface to bind it to a bridge-domain instance and add a denied MAC address for the service instance?,"To configure an ingress dot1q frame on an interface, use the following command:
```
Device(config-if-srv)# encapsulation dot1q 100
```

Next, bind the service instance to a bridge-domain instance using the following command:
```
Device(config-if-srv)# bridge-domain 200
```

Finally, add the specified MAC address as a denied MAC address for the service instance using the following command:
```
Device(config-if-srv)# mac security address deny 00:11:22:33:44:55
```

Here's an example of how you can configure these commands together:

```
Device(config-if-srv)# encapsulation dot1q 100
Device(config-if-srv)# bridge-domain 200
Device(config-if-srv)# mac security address deny 00:11:22:33:44:55
```"
How do you configure the device to deny a specific MAC address in a service instance for MAC security purposes?,"To add a denied MAC address to a service instance for MAC security, use the following command:

Device(config-if-srv)# mac security address deny <MAC_ADDRESS>

For example:
```
Device(config-if-srv)# mac security address deny 00:11:22:33:44:55
```"
How can we set an upper limit for the number of secured MAC addresses in a bridge domain?,"To set an upper limit for the number of secured MAC addresses in a bridge domain, you can use the following Cisco IOS command:
```
bridge-domain bridge-id mac-limit  [value]
```
For example:
```
R(config)# bridge-domain 10 mac-limit 100
```
This sets the maximum number of secured MAC addresses to 100 within bridge domain 10."
How do you enable MAC security on the service instance?,"To enable MAC security on the service instance, you can use the following command:
```
Device(config-if-srv)# mac security
```
This command enables Media Access Control (MAC) security on the service instance, which helps to filter out unauthorized devices from connecting to the network."
"What is the configuration to create a service instance on an interface and configure matching criteria, encapsulation, binding to a bridge-domain instance, and violation mode?","To create a service instance on an interface and configure matching criteria, encapsulation, binding to a bridge-domain instance, and violation mode, you can use the following Cisco IOS code:

```
Device(config)# interface gigabitethernet2/0/1
Device(config-if)# service instance 100 ethernet
Device(config-if-srv)# encapsulation dot1q 100
Device(config-if-srv)# bridge-domain 100
Device(config-if-srv)# mac security violation restrict
```

Alternatively, you can use the following code to configure the service instance with a different violation mode:

```
Device(config-if-srv)# mac security violation protect
```

This configuration creates a service instance on interface GigabitEthernet2/0/1 that matches Ethernet frames and encapsulates them in VLAN 100. It then binds the service instance to bridge-domain 100 and configures the MAC security violation mode to restrict or protect, depending on your choice of configuration."
How do I configure MAC Address Aging for secured MAC addresses under MAC security on a Cisco device?,"To configure MAC Address Aging for secured MAC addresses under MAC security on a Cisco device, you can use the following commands:
```cisco
Router(config)# mac security
Router(mac-sec)# aging-time 300
Router(mac-sec)# static-dynamic secure-mac 0010.1111.2222
```
In this example, we're enabling MAC security and configuring the aging time to 5 minutes (300 seconds). We're also adding a secured MAC address with the value `0010.1111.2222`.

**Note:** The exact commands may vary depending on the specific Cisco device or service instance you're working with. This is just an example of how to achieve this configuration using Cisco IOS code."
How do you enable and configure a privileged EXEC mode to create a service instance with Ethernet type and set matching criteria for ingress dot1q frames?,"To enable and configure a privileged EXEC mode, create a service instance with Ethernet type, define matching criteria for ingress dot1q frames, and set bridge domain bridge-id, you can use the following steps:

Enable:
```
Router# enable
```

Configure terminal:
```
Router(config)# configure terminal
```

Create a service instance with Ethernet type (example: gigabitethernet2/0/1):
```
Router(config)# interface gigabitethernet2/0/1
Router(config-if)# service instance 100 ethernet
```

Define matching criteria for ingress dot1q frames:
```
Router(config-if-srv)# encapsulation dot1q vlan-id
```

Set bridge domain bridge-id:
```
Router(config-if-srv)# bridge-domain 100 bridge-id 0x8001
```

Note: Replace `gigabitethernet2/0/1` with your actual interface name, and `vlan-id` and `bridge-id` with the desired values."
How do you enable MAC security and configure sticky MAC address on a service instance?,"```
Router# configure terminal
Router(config)# interface type 1
Router(config-if)# service instance id 2 ethernet
Router(config-if-srv)# encapsulation dot1q 100
Router(config-if-srv)# bridge-domain 2000
Router(config-if-srv)# mac security sticky address 00:11:22:33:44:55
Router(config-if-srv)# mac security
Router(config-if-srv)# end
```
This configuration enables MAC security on the specified interface, configures a service instance with Ethernet encapsulation, and sets up a sticky MAC address for the MAC address `00:11:22:33:44:55`."
"How can we configure MAC address limiting on Service Instances, Bridge Domains, and EVC Port Channels?","To configure MAC address limiting on Service Instances, Bridge Domains, and EVC Port Channels, you can use the `mac limit` command. Here is an example of how to do this:

On a Service Instance:
```
service-instance <name> mac limit <limit>
```
For example:
```
service-instance si1 mac limit 1000
```
This sets the maximum number of MAC addresses allowed on the service instance to 1000.

On a Bridge Domain:
```
bridge-domain <name> mac limit <limit>
```
For example:
```
bridge-domain bd1 mac limit 500
```
This sets the maximum number of MAC addresses allowed on the bridge domain to 500.

On an EVC Port Channel:
```
evc-port-channel <name> mac limit <limit>
```
For example:
```
evc-port-channel epc1 mac limit 2000
```
This sets the maximum number of MAC addresses allowed on the EVC port channel to 2000.

Note: The exact syntax and options may vary depending on the specific Cisco IOS version and platform you are using."
How can we enable MAC security on the service instance?,"To enable MAC security on the service instance, you can use the following Cisco IOS command:

`mac address-table learning-limit 256`

This command sets the learning limit for the MAC address table to 256, which enables MAC security on the service instance."
How can I enter privileged EXEC mode and display all the service instances with MAC security enabled?,"To enter privileged EXEC mode, I would type ""Device> enable"" (step 2 in the configuration) and then respond to the password prompt by entering my password.

Once in privileged mode, I could use the command ""show ethernet service instance mac security"" (step 3 in the configuration) to display all the service instances with MAC security enabled. This would provide me with information about the MAC-based security features configured on my device, such as MAC address filters and MAC-layer security settings.

Here is the code:
```
Device> enable
Password: (enter password)
Device# show ethernet service instance mac security

Ethernet Service Instance MAC Security Information:

* Service Instance 1: MAC address filter enabled, using MAC address 00:11:22:33:44:55
* Service Instance 2: MAC-layer security enabled, using authentication key 0x12345678
* ...

Note: Output may vary depending on the actual configuration of your device.
```"
What is the command to display service instances on a specific bridge domain with MAC security enabled?,"```
enable
Router# show bridge-domain id mac security
end
```

Explanation: The `show bridge-domain id mac security` command is used to display information about a specific bridge domain, including its ID and MAC security settings. To run this command, you need to be in privileged mode (enabled by the `enable` command), then enter the command itself. Finally, the `end` command is used to exit privileged mode."
How can we configure the router to display secured addresses on all service instances?,"To display secured addresses on all service instances, you can use the command `show ethernet service instance mac security address`. This command displays the MAC security address for each Ethernet Service Instance. Here is an example of how to use this command:

Router# show ethernet service instance mac security address

This will display a list of all Ethernet Service Instances, along with their corresponding MAC security addresses.

Example output:
```
Ethernet Service Instance          MAC Security Address
----------------------------------------
eth-si-1                          00:11:22:33:44:55
eth-si-2                          00:11:23:34:45:56
...
```"
How can we display the MAC addresses of all service instances on a specific bridge domain?,"To show the MAC addresses of all service instances on a specific bridge domain, you can use the following Cisco IOS command:

`show bridge-domain <bridge-domain-id> mac security address`

Replace `<bridge-domain-id>` with the actual ID number of the bridge domain you are interested in.

For example:
```
Router# show bridge-domain 100 mac security address
Bridge Domain 100 MAC Security Address Table

MAC            VLAN    Bridge-Domain-Id   Type    Learned
-----------    ------  ---------------  ----    -------
00:11:22:33:44:55  10     100          Dynamic  Yes
```
This command displays the MAC addresses, VLANs, and bridge domain IDs associated with each service instance on the specified bridge domain."
How can you bring a service instance out of an error-disabled state due to MAC security issues?,"To bring a specific service instance out of an error-disabled state due to MAC security issues, you can use the following configuration commands:

```cisco
Router# enable
Router(config)# configure terminal
Router(config)# interface [type number]
Router(config-if)# service instance id [ethernet]
Router(config-if-srvinst)# encapsulation dot1q vlan-id
Router(config-if-srvinst)# bridge-domain [bridge-id]
Router(config-if-srvinst)# mac security
Router(config-if-srvinst)# errdisable recovery cause mac-security interval [time]
```

In this configuration, the `errdisable recovery` command is used to specify the reason for error-disabled state and the time it takes to recover. The `mac security` command enables MAC security on the service instance."
How can we define matching criteria to map ingress dot1q frames on an interface to the appropriate service instance?,"To define matching criteria to map ingress dot1q frames on an interface to the appropriate service instance, you can use the `encapsulation dot1q vlan-id` command. This command allows you to specify a VLAN ID for the dot1q encapsulation.

Here is an example of how you can configure this:

```
Router(config)# interface FastEthernet0/0
Router(config-if)# encapsulation dot1q 100
Router(config-if)#
```

In this example, we are configuring the FastEthernet0/0 interface to use dot1q encapsulation with a VLAN ID of 100. This allows us to map incoming dot1q frames on this interface to the service instance corresponding to VLAN 100.

Note: The `encapsulation dot1q vlan-id` command is typically used in conjunction with other commands, such as `service-policy` or `match`, to define the matching criteria for mapping ingress dot1q frames to service instances."
How to enable MAC security on a service instance?,"To enable MAC security on a service instance, you can follow these steps:

1. Enable the device by typing `enable` at the prompt.
2. Access the configuration terminal mode by typing `configure terminal`.
3. Configure the interface for GigabitEthernet 3/0/1 by typing `interface gigabitethernet 3/0/1`.
4. Create a service instance on the configured interface by typing `service instance 100 ethernet`.
5. Specify the encapsulation method as dot1Q 100 by typing `encapsulation dot1Q 100`.
6. Define the bridge domain for the service instance by typing `bridge-domain 100`.
7. Enable MAC security for the service instance by typing `mac security`.

Here's the complete configuration:

```
Device> enable
Device# configure terminal
Device(config)# interface gigabitethernet 3/0/1
Device(config-if)# service instance 100 ethernet
Device(config-if-srv)# encapsulation dot1Q 100
Device(config-if-srv)# bridge-domain 100
Device(config-if-srv)# mac security
```"
How do you configure the MAC Address Permit List on a device to allow specific MAC addresses?,"To configure the MAC Address Permit List on a device, follow these steps:

1. Enable device configuration mode:
```
Router> enable
```
2. Enter global configuration mode:
```
Router# configure terminal
```
3. Configure the interface port-channel 2 with service instance 100 ethernet:
```
 Router(config)# interface Port-Channel 2
Router(config-if)# service-instance 100 Ethernet
```
4. Encapsulate the interface with dot1Q 100:
```
Router(config-if)# encapsulation dot1Q 100
```
5. Create bridge domain 100:
```
Router(config-if)# bridge-domain 100
```
6. Enable MAC security on the interface:
```
Router(config-if)# mac security
```
7. Add MAC address permit list for specified addresses:
```
Router(config-mac-srv)# permit 0010.1111.2222 0003.3333.4444
```

Note: Replace the MAC addresses with the actual values you want to allow.

This configuration enables MAC security on interface Port-Channel 2 and allows specific MAC addresses (0010.1111.2222 and 0003.3333.4444) through the permit list."
How can you configure a MAC address deny list and set the maximum number of allowed MAC addresses in a bridge domain?,"To configure a MAC address deny list and set the maximum number of allowed MAC addresses in a bridge domain, follow these steps:

Step 1: Enable configuration mode on the device:
```
Router(config)#
```

Step 2: Configure the interface with service instance, encapsulation, and bridge-domain settings:
```
Router(config)# interface vlan 10
Router(config-if)# service instance 10 ethernet 
Router(config-if)# encapsulation dot1q 10
Router(config-if)# bridge-domain 10
```

Step 3: Deny specific MAC addresses using the ""mac security address deny"" command:
```
Router(config-if)# mac security address deny 00:11:22:33:44:55 00:11:22:33:44:66
```

Step 4: Set the maximum number of allowed MAC addresses in the bridge domain using the ""mac limit maximum addresses"" command:
```
Router(config-if)# mac limit maximum addresses 1000
```

The above configuration will deny the specified MAC addresses and set a maximum of 1000 allowed MAC addresses in the bridge domain."
What is the maximum number of MAC addresses that can be learned by Service Instance 100 Ethernet on interface GigabitEthernet 3/0/1?,"To set the maximum number of MAC addresses that can be learned by Service Instance 100 Ethernet, you can use the following Cisco IOS command:

Router# interface gigabitethernet 3/0/1
Router(config-if)# service-instance 100 ethernet dot1Q 100 bridge-domain 100 mac-limit 10

This sets the maximum number of MAC addresses that can be learned by Service Instance 100 Ethernet to 10."
What is the ID of the bridge domain configured in the network?,"Router(config)# bridge-domain 100

Explanation:
To answer this question, we can refer to the given configuration ""bridge-domain 100"". This indicates that a bridge domain with an ID of 100 has been configured."
What types of interfaces are not supported for Ethernet Local Management Interface (LMI)?,"According to the configuration, LMI is not supported on the following interface types:

* Routed ports
* EtherChannel port channels
* Ports that belong to an EtherChannel
* Private VLAN ports
* IEEE 802.1Q tunnel ports
* Ethernet over Multiprotocol Label Switching (MPLS) ports
* Ethernet Flow Points (EFPs) on trunk ports

Example Cisco IOS command:

Router(config)# interface [interface-type] (not supported for LMI)

For example, if you try to configure LMI on a routed port:

Router(config)# interface gigabitethernet 1/0/1
% Incomplete command.

Please complete the command by typing one of the following:
* switchport
* no switchport
* ip address

Note: The above is just an example, please adjust the interface-type according to your network setup."
What protocol would you use to verify the fault in an end-to-end per-service-instance Ethernet connectivity monitoring scenario?,"To verify the fault in an end-to-end per-service-instance Ethernet connectivity monitoring scenario, we can use Ethernet Connectivity Fault Management (CFM) protocol.

Here's an example of how to configure CFM on a Cisco device:
```
Router(config)# service instance 10 ethernet 
Router(config-service-inst)# cfm
Router(config-cfm)# domain MyDomain
Router(config-cfm)# peer-link 10
Router(config-cfm)# endpoint my-endpoint
```

This configuration sets up a CFM domain and defines an endpoint for the end-to-end per-service-instance Ethernet connectivity monitoring scenario.

Note: The above command is based on Cisco IOS code, please verify the exact command with your specific device or software version."
How do EVC and UNI attributes get communicated to a CE device?,"To communicate EVC (Ethernet Virtual Circuit) and UNI (User Network Interface) attributes to a CE (Customer Edge) device, we can use protocols such as Ethernet Local Management Interface (LMI) or Connectivity Fault Management (CFM).

In Cisco IOS, this is achieved using the `mpls l2vpws` command. For example:
```cisco
Router(config)# mpls l2vpws 1000 2001
Router(config-mplsvpws)# remote-peer 10.1.1.1
Router(config-mplsvpws)# end

Router(config)# interface FastEthernet0/0
Router(config-if)# ip address 10.1.1.1 255.255.255.0
Router(config-if)# mpls l2vpws 1000 2001
```
In this example, the `mpls l2vpws` command is used to create an L2VPN (Layer 2 VPN) with EVC and UNI attributes. The `remote-peer` command specifies the IP address of the CE device that will receive these attributes.

Once the configuration is applied, the EVC and UNI attributes are communicated to the CE device using the LMI or CFM protocols, which maintain end-to-end connectivity status on the customer edge (CE), provider edge (PE), and access aggregation PE (uPE) network nodes."
How can we achieve accelerated deployment of new services and applications while reducing network downtime during upgrades?,"To accelerate the deployment of new services and applications, you can use NSF (Non-Stop Forwarding) Single Sign-On (SSO) support in Ethernet Local Management Interface (LMI). This feature enables the router to continue forwarding packets even when a link goes down or an upgrade is being performed.

Here's an example of how this can be achieved using Cisco IOS code:

Router(config)# lmi

Router(config-lmi)# nsf sso

This configuration enables NSF SSO support in Ethernet LMI, which allows for non-stop forwarding and eliminates network downtime during upgrades. This feature ensures that packets are continuously forwarded, even when a link goes down or an upgrade is being performed, thus enabling accelerated deployment of new services and applications.

Example output:
```
Router# show lmi
LMI Statistics:

  NSF SSO Status: Enabled

Router#
```"
How can we configure Cisco's Connectivity Fault Management (CFM) to manage EVCs and untagged Ethernet flow points (EFPs)?,"```
Router(config)# cfm group <group-name> vlan-mapping customer-vlan-map
Router(config)# cfm group <group-name> evc <evc-id> service-instance <service-instance-id>
Router(config)# cfm group <group-name> evc <evc-id> efp <efp-id> untagged
```
For example:
```
Router(config)# cfm group MYGROUP vlan-mapping customer-vlan-map
Router(config)# cfm group MYGROUP evc 1 service-instance SI1
Router(config)# cfm group MYGROUP evc 1 efp 100 untagged
```
This configuration sets up a CFM group named ""MYGROUP"" that maps customer VLANs to Ethernet LMI VLANs. It also configures an EVC with ID 1 and assigns it to service instance SI1, and defines an untagged EFP with ID 100.

Note: Replace `<group-name>`, `<evc-id>`, `<service-instance-id>`, and `<efp-id>` with your actual values."
How do you define a universally unique customer service instance (CSI) and VLAN ID within the maintenance domain?,"To define a universally unique customer service instance (CSI) and VLAN ID within the maintenance domain, you can use the following command in Cisco IOS:

```
Device(config-ecfm)# service csi-id evc evc-name vlan vlan-id
```

For example:

```
Device(config-ecfm)# service csi2 evc evc_1 vlan 10
```

This command creates a universally unique customer service instance (CSI) with the ID `csi2` and assigns it to the VLAN with the ID `10`. The `evc` name is used to identify this CSI."
How do you configure an Ethernet service instance on a physical interface connected to a CE device?,"To configure an Ethernet service instance on a physical interface connected to a CE device, follow these steps:

Device(config)# interface gigabitethernet 1/3/1
This command enters the interface configuration mode for GigabitEthernet interface 1/3/1.

Device(config-if)# service instance 400 ethernet
This command configures an Ethernet service instance on the physical interface with instance ID 400. The ""ethernet"" keyword specifies that this is an Ethernet service instance.

Example:
```
Device(config)# interface gigabitethernet 1/3/1
Device(config-if)# service instance 400 ethernet
```"
"How can I enable Ethernet Local Management Interface (LMI) for untagged keywords on a Customer Edge (CE) device, ensuring that the main interface line protocol stays up?","To enable Ethernet LMI for untagged keywords on a CE device and ensure the main interface line protocol stays up, you can use the following command:
```
Router(config)# ethernet lmi ce-vlan map <VLAN_ID>
```
Replace `<VLAN_ID>` with the desired VLAN ID. This command enables LMI on the CE device for the specified VLAN ID and allows untagged keywords to be used while keeping the main interface line protocol up.

Example:
```
Router(config)# ethernet lmi ce-vlan map 100
```"
How do you enable Ethernet Local Management Interface (LMI) on a device or an interface?,"To enable Ethernet LMI on a device or an interface, follow these steps:

1. Enable privileged EXEC mode:
```
enable
```

2. Enter global configuration mode:
```
configure terminal
```

3. Define the interface to configure as an Ethernet LMI:
```
interface FastEthernet0/0
```

4. Configure Ethernet LMI on the interface:
```
ethernet lmi interface
```

5. Set the desired value for Ethernet LMI (for example, with 'n393' or 't392'):
```
ethernet lmi n393 100
```

6. Exit configuration mode:
```
end
```

After completing these steps, Ethernet LMI will be enabled on the specified interface."
How do you configure Ethernet LMI parameters for the UNI on specific interfaces?,"To configure Ethernet LMI parameters for the UNI on specific interfaces, use the command ""ethernet lmi n393  value | t392 value"" as shown below:

Router# conf t
Enter configuration commands, one per line. End with CNTL/Z.
Router(config)# interface fastEthernet0/0
Router(config-if)# ethernet lmi n393 5
Router(config-if)# t392 10
Router(config-if)# end

In this example, the command ""ethernet lmi"" is used to enable Ethernet LMI on interface fastEthernet0/0. The subcommand ""n393 value"" sets the Number of Repeaters (N) value to 5, and the subcommand ""t392 value"" sets the T-Protocol timer value to 10 milliseconds."
How can I display interface-only information about Ethernet customer service instances for all interfaces or a specified interface?,"You can use the command ""show ethernet service interface [type number] [detail]"" to display interface-only information about Ethernet customer service instances for all interfaces or a specified interface.

Example:
```
Router# show ethernet service interface 1/0
```
This command will display interface-only information about Ethernet customer service instances for interface 1/0. If you want to see the information for all interfaces, you can omit the interface number and use the following command:
```
Router# show ethernet service interface
```"
What is the associated EVC ID used to configure the Ethernet Local Management Interface at the Provider Edge?,"The associated EVC ID used to configure the Ethernet Local Management Interface at the Provider Edge is 50.

Example Cisco IOS code:
```
Router(config)# service instance 50 ethernet 
Router(config-service-instance)# encapsulation dot1q 30
```"
"How do you configure the Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device?","To configure the Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device, you can follow these steps:

1. Enable the device:
```
Device> enable
```

2. Enter configuration mode:
```
Device# configure terminal
```

3. Configure CFM globally:
```
Device(config)# ethernet cfm global
```

4. Define a CFM domain and set its level to 4:
```
Device(config)# ethernet cfm domain provider level 4
```

5. Create an EVC service for customer_1 with VLAN 10 and enable continuity checks:
```
Device(config-ecfm)# service customer_1 evc test1 vlan 10
Device(config-ecfm-srv)# continuity-check
Device(config-ecfm-srv)# continuity-check interval 1s/10s/1m/10m
Device(config-ecfm-srv)# exit
```

6. Exit CFM configuration mode and enter EVC configuration mode:
```
Device(config-ecfm)# exit
Device(config)# ethernet evc test1
```

7. Configure the EVC with a count of 3 for the uni:
```
Device(config-evc)# uni count 3
```

8. Set the OAM protocol to CFM domain provider:
```
Device(config-evc)# oam protocol cfm domain provider
```

9. Exit EVC configuration mode:
```
Device(config-evc)# exit
```

10. Configure LMI on a specific interface (e.g., GigabitEthernet 0/5/1):
```
interface gigabitEthernet 0/5/1
Device(config-if)# ethernet lmi
```

This is the correct sequence of commands to configure Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device."
What is the L2 protocol used in the service instance configured on Ethernet Uni?,"According to the configuration, the L2 protocol used in the service instance on interface Ethernet Uni with CISCO ID is:

`L2protocol peer`

This can be confirmed by running the following Cisco IOS command:
```
show service-instance interface ethernet uni cisco-id
```
This would output something like:
```
Service Instance: Ethernet Uni (CISCO ID)
  L2 Protocol: peer
  ...
```
Let me know if you'd like me to generate another question!"
How do you enable Ethernet LMI (Local Management Interface) on a Cisco device?,"To enable Ethernet LMI on a Cisco device, use the following commands in global configuration mode:
```
Device(config)# ethernet lmi global
Device(config)# ethernet lmi ce
```
These commands configure Ethernet LMI globally and enable it for the CE (Configured Entity) device."
What is the recommended configuration for enabling LLDP (Link Layer Discovery Protocol) on a Cisco router in a multivendor network?,"To enable LLDP on a Cisco router in a multivendor network, you can use the following command:
```
Router(config)# lldp timer 1
Router(config)# lldp transmission-interval 5
Router(config)# lldp reception-interval 10
Router(config)# lldp hold-time 4
```
According to the configuration on page 302, you can adjust the timer, transmission interval, reception interval, and hold time to suit your network requirements. It is also recommended to use the `lldp transmit` command to specify the type of LLDP frames to be sent.

Note: The exact syntax may vary depending on the Cisco IOS version being used."
