requirement,model_answer,completion_action,model_answer_completed,model_raw_output
Configure Router2 to prioritize VoIP traffic over other traffic types.,"      ~~~Router2~~~~
    priority-group 100
    class-map match-any voip-traffic
      match protocol rtp
    policy-map voip-policy
      class voip-traffic
        priority 100
    service-policy voip-policy",COMPLETED,"priority-group 100
!
class-map match-any voip-traffic
 match protocol rtp
!
policy-map voip-policy
 class voip-traffic
  priority 100
!
interface Ethernet0/0
 service-policy output voip-policy
!
interface Ethernet0/1
 service-policy output voip-policy
!
interface Ethernet0/2
 service-policy output voip-policy","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""priority-group 100\n!\nclass-map match-any voip-traffic\n match protocol rtp\n!\npolicy-map voip-policy\n class voip-traffic\n  priority 100\n!\ninterface Ethernet0/0\n service-policy output voip-policy\n!\ninterface Ethernet0/1\n service-policy output voip-policy\n!\ninterface Ethernet0/2\n service-policy output voip-policy""
}"
Implement Class-Based Weighted Fair Queuing (CBWFQ) on Router3 for LAN traffic.,"    ```cisco
    ~~~Router3~~~~
    class-map match-any LAN_TRAFFIC
      match ip dscp ef
    policy-map LAN_POLICY
      class LAN_TRAFFIC
        priority 10000
    service-policy input LAN_POLICY
    ```",COMPLETED,"class-map match-any LAN_TRAFFIC
  match ip dscp ef
policy-map LAN_POLICY
  class LAN_TRAFFIC
    priority 10000
  class class-default
    fair-queue bandwidth 50 queue-limit 200
service-policy output LAN_POLICY","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""class-map match-any LAN_TRAFFIC\n  match ip dscp ef\npolicy-map LAN_POLICY\n  class LAN_TRAFFIC\n    priority 10000\n  class class-default\n    fair-queue bandwidth 50 queue-limit 200\nservice-policy output LAN_POLICY""
}"
Configure Router4 to classify and mark packets for expedited forwarding (EF).,"    ```
    Router4(config)# class-map match-any EF
    Router4(config-cmap)# match ip dscp ef
    Router4(config-cmap)# exit
    Router4(config)# policy-map EF-Policy
    Router4(config-pmap)# class EF
    Router4(config-pmap-c)# set qos-group 1
    Router4(config-pmap-c)# exit
    Router4(config)# interface FastEthernet0/0
   ",COMPLETED,"Router4(config)# class-map match-any EF
Router4(config-cmap)# match ip dscp ef
Router4(config-cmap)# exit
Router4(config)# policy-map EF-Policy
Router4(config-pmap)# class EF
Router4(config-pmap-c)# set qos-group 1
Router4(config-pmap-c)# exit
Router4(config)# interface Ethernet0/0
Router4(config-if)# service-policy output EF-Policy
Router4(config-if)# exit
Router4(config)# interface Ethernet0/1
Router4(config-if)# service-policy output EF-Policy
Router4(config-if)# exit
Router4(config)# interface Ethernet0/2
Router4(config-if)# service-policy output EF-Policy
Router4(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    Router4(config)# class-map match-any EF\nRouter4(config-cmap)# match ip dscp ef\nRouter4(config-cmap)# exit\nRouter4(config)# policy-map EF-Policy\nRouter4(config-pmap)# class EF\nRouter4(config-pmap-c)# set qos-group 1\nRouter4(config-pmap-c)# exit\nRouter4(config)# interface Ethernet0/0\nRouter4(config-if)# service-policy output EF-Policy\nRouter4(config-if)# exit\nRouter4(config)# interface Ethernet0/1\nRouter4(config-if)# service-policy output EF-Policy\nRouter4(config-if)# exit\nRouter4(config)# interface Ethernet0/2\nRouter4(config-if)# service-policy output EF-Policy\nRouter4(config-if)# exit""
}"
Implement policy-based QoS on Router1 to prioritize traffic from specific VLANs.,"    ```cisco
    Router1(config)# policy-map VLAN_PRIORITY
    Router1(config-pmap)# class VLAN_1
    Router1(config-pmap-c)# priority 100
    Router1(config-pmap-c)# shape average 10000
    Router1(config-pmap-c)# police 10000 10000 conform-action transmit exceed-action drop
    Router1(config-pmap-c)# exit
    Router1",COMPLETED,"Router1(config)# policy-map VLAN_PRIORITY
Router1(config-pmap)# class VLAN_1
Router1(config-pmap-c)# priority 100
Router1(config-pmap-c)# exit
Router1(config-pmap)# class VLAN_2
Router1(config-pmap-c)# bandwidth 500
Router1(config-pmap-c)# exit
Router1(config-pmap)# exit
Router1(config)# interface Ethernet0/1
Router1(config-if)# service-policy output VLAN_PRIORITY
Router1(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1(config)# policy-map VLAN_PRIORITY\nRouter1(config-pmap)# class VLAN_1\nRouter1(config-pmap-c)# priority 100\nRouter1(config-pmap-c)# exit\nRouter1(config-pmap)# class VLAN_2\nRouter1(config-pmap-c)# bandwidth 500\nRouter1(config-pmap-c)# exit\nRouter1(config-pmap)# exit\nRouter1(config)# interface Ethernet0/1\nRouter1(config-if)# service-policy output VLAN_PRIORITY\nRouter1(config-if)# exit""
}"
Configure Router2 to apply traffic policing to limit outbound traffic on WAN interface.,"    ```
    Router2# configure terminal
    Router2(config)# interface FastEthernet0/0
    Router2(config-if)# police rate 10000000 bps
    Router2(config-if)# exit
    Router2(config)#
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# interface Ethernet0/0
Router2(config-if)# police rate 10000000 bps conform-action transmit exceed-action drop
Router2(config-if)# exit
Router2(config)#[","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# police rate 10000000 bps conform-action transmit exceed-action drop\nRouter2(config-if)# exit\nRouter2(config)#[\n""
}"
Implement Low Latency Queuing (LLQ) on Router3 for real-time application traffic.,"    ~~~Router3~~~~
    interface FastEthernet0/0
     service-policy input LLQ",COMPLETED,"interface FastEthernet0/0
 service-policy input LLQ
!
!
qos policy-map LLQ
 class real-time
 bandwidth 1000
 priority
!","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""interface FastEthernet0/0\n service-policy input LLQ\n!\n!\nqos policy-map LLQ\n class real-time\n bandwidth 1000\n priority\n!""
}"
Set up Router4 to throttle P2P traffic to prevent it from consuming excessive bandwidth.,"    ~~~Router4~~~~
    class-map match-any p2p-traffic
      match protocol p2p
    policy-map throttle-p2p
      class p2p-traffic
        police rate 10000000 bps
    interface FastEthernet0/0
      service-policy input throttle-p2p",COMPLETED,"class-map match-any p2p-traffic
  match protocol p2p
policy-map throttle-p2p
  class p2p-traffic
    police rate 10000000 bps burst 64000 conform-action transmit exceed-action drop
interface Ethernet0/0
  service-policy input throttle-p2p","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""class-map match-any p2p-traffic\n  match protocol p2p\npolicy-map throttle-p2p\n  class p2p-traffic\n    police rate 10000000 bps burst 64000 conform-action transmit exceed-action drop\ninterface Ethernet0/0\n  service-policy input throttle-p2p""
}"
Configure Router1 to prioritize VoIP traffic based on DSCP markings.,"    ~~~Router1~~~~
    ip cef
    mpls traffic-eng
    mpls ldp
    mpls nhrp
    mpls nhrp map 10.1.1.1 10.1.1.2
    mpls nhrp network-id 10.1.1.0
    mpls nhrp holdtime 300
    mpls nhrp authentication cisco
    mpls nhrp map-group 10.1.1.0
    mpls nhrp map",COMPLETED,"ip cef
mpls traffic-eng
mpls ldp
mpls nhrp
mpls nhrp map 10.1.1.1 10.1.1.2
mpls nhrp network-id 10.1.1.0
mpls nhrp holdtime 300
mpls nhrp authentication cisco
mpls nhrp map-group 10.1.1.0
!
!
interface Ethernet0/0
 ip address 10.0.1.0 255.255.255.0
 no shutdown
!
interface Ethernet0/1
 ip address 10.0.12.1 255.255.255.0
 no shutdown
!
interface Ethernet0/2
 ip address 10.0.14.1 255.255.255.0
 no shutdown
!
!
routing-policy VOIP_TRAFFIC
 if-match dscp ef
!
!
policy-map QOS_POLICY
 class class-default
 police cir 30000 bc 600 be 150 conform-action transmit exceed-action drop
!
!
policy-map interface output Ethernet0/0
 service-policy output QOS_POLICY
!
policy-map interface output Ethernet0/1
 service-policy output QOS_POLICY
!
policy-map interface output Ethernet0/2
 service-policy output QOS_POLICY
!","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""ip cef\nmpls traffic-eng\nmpls ldp\nmpls nhrp\nmpls nhrp map 10.1.1.1 10.1.1.2\nmpls nhrp network-id 10.1.1.0\nmpls nhrp holdtime 300\nmpls nhrp authentication cisco\nmpls nhrp map-group 10.1.1.0\n!\n!\ninterface Ethernet0/0\n ip address 10.0.1.0 255.255.255.0\n no shutdown\n!\ninterface Ethernet0/1\n ip address 10.0.12.1 255.255.255.0\n no shutdown\n!\ninterface Ethernet0/2\n ip address 10.0.14.1 255.255.255.0\n no shutdown\n!\n!\nrouting-policy VOIP_TRAFFIC\n if-match dscp ef\n!\n!\npolicy-map QOS_POLICY\n class class-default\n police cir 30000 bc 600 be 150 conform-action transmit exceed-action drop\n!\n!\npolicy-map interface output Ethernet0/0\n service-policy output QOS_POLICY\n!\npolicy-map interface output Ethernet0/1\n service-policy output QOS_POLICY\n!\npolicy-map interface output Ethernet0/2\n service-policy output QOS_POLICY\n!""
}"
Implement Weighted Random Early Detection (WRED) on Router2 to manage congestion.,"    ```
    Router2# configure terminal
    Router2(config)# interface FastEthernet0/0
    Router2(config-if)# ip address 192.168.1.2 255.255.255.0
    Router2(config-if)# ip pim sparse-mode
    Router2(config-if)# ip pim sparse-mode
    Router2(config-if)# ip pim sparse-mode
    Router2(config-if)# ip pim sp",COMPLETED,"Router2# configure terminal
Router2(config)# interface Ethernet0/0
Router2(config-if)# ip address 10.0.12.2 255.255.255.0
Router2(config-if)# ip pim sparse-mode
Router2(config-if)# exit
Router2(config)# interface Ethernet0/1
Router2(config-if)# ip address 10.0.23.1 255.255.255.0
Router2(config-if)# ip pim sparse-mode
Router2(config-if)# exit
Router2(config)# interface Ethernet0/2
Router2(config-if)# ip address 10.0.24.1 255.255.255.0
Router2(config-if)# ip pim sparse-mode
Router2(config-if)# exit
Router2(config)# interface Ethernet0/0
Router2(config-if)# bandwidth 100000
Router2(config-if)# traffic-policy WRED
Router2(config-if)# traffic-policy class WRED
Router2(config-tp-class)# ip dscp af31 queue-limit 50
Router2(config-tp-class)# ip dscp af41 queue-limit 50
Router2(config-tp-class)# random-detect
Router2(config-tp-class)# random-detect dscp-based
Router2(config-tp-class)# random-detect weight af31 100
Router2(config-tp-class)# random-detect weight af41 200
Router2(config-tp-class)# exit
Router2(config-if)# queue-limit 50
Router2(config-if)# end","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# ip address 10.0.12.2 255.255.255.0\nRouter2(config-if)# ip pim sparse-mode\nRouter2(config-if)# exit\nRouter2(config)# interface Ethernet0/1\nRouter2(config-if)# ip address 10.0.23.1 255.255.255.0\nRouter2(config-if)# ip pim sparse-mode\nRouter2(config-if)# exit\nRouter2(config)# interface Ethernet0/2\nRouter2(config-if)# ip address 10.0.24.1 255.255.255.0\nRouter2(config-if)# ip pim sparse-mode\nRouter2(config-if)# exit\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# bandwidth 100000\nRouter2(config-if)# traffic-policy WRED\nRouter2(config-if)# traffic-policy class WRED\nRouter2(config-tp-class)# ip dscp af31 queue-limit 50\nRouter2(config-tp-class)# ip dscp af41 queue-limit 50\nRouter2(config-tp-class)# random-detect\nRouter2(config-tp-class)# random-detect dscp-based\nRouter2(config-tp-class)# random-detect weight af31 100\nRouter2(config-tp-class)# random-detect weight af41 200\nRouter2(config-tp-class)# exit\nRouter2(config-if)# queue-limit 50\nRouter2(config-if)# end""
}"
Configure Router3 to apply rate limiting on specific subnets.,"    ```
    ~~~Router3~~~~
    interface FastEthernet0/0
     description ""Router3 - Subnet 10.1.1.0/24""
     ip address 10.1.1.1 255.255.255.0
     service-policy input RATE-LIMIT-SUBNET-10-1-1
     exit

    interface FastEthernet0/1
     description ""Router3 - Subnet 10.1.2.0/24""
     ip address 10.1.2.1 255",COMPLETED,"~~~Router3~~~~
    interface FastEthernet0/0
     description ""Router3 - Subnet 10.1.1.0/24""
     ip address 10.1.1.1 255.255.255.0
     service-policy input RATE-LIMIT-SUBNET-10-1-1
     exit

    interface FastEthernet0/1
     description ""Router3 - Subnet 10.1.2.0/24""
     ip address 10.1.2.1 255.255.255.0
     service-policy input RATE-LIMIT-SUBNET-10-1-2
     exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ~~~Router3~~~~\n    interface FastEthernet0/0\n     description \""Router3 - Subnet 10.1.1.0/24\""\n     ip address 10.1.1.1 255.255.255.0\n     service-policy input RATE-LIMIT-SUBNET-10-1-1\n     exit\n\n    interface FastEthernet0/1\n     description \""Router3 - Subnet 10.1.2.0/24\""\n     ip address 10.1.2.1 255.255.255.0\n     service-policy input RATE-LIMIT-SUBNET-10-1-2\n     exit\n""
}"
Allow HTTP traffic from LAN to WAN on Router1,"    ~~~Router1~~~~
    interface FastEthernet0/0
    ip address 192.168.1.1 255.255.255.0
    ip http server
    exit
    ~~~Router2~~~~
    interface FastEthernet0/0
    ip address 192.168.2.1 255.255.255.0
    ip http server
    exit",COMPLETED,"~~~Router1~~~~
    interface Ethernet0/0
    ip address 10.0.1.1 255.255.255.0
    no shutdown
    exit
    ip http server
    access-list 1 permit 10.0.1.0 0.0.0.255
    ip access-group 1 in interface Ethernet0/0","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ~~~Router1~~~~\n    interface Ethernet0/0\n    ip address 10.0.1.1 255.255.255.0\n    no shutdown\n    exit\n    ip http server\n    access-list 1 permit 10.0.1.0 0.0.0.255\n    ip access-group 1 in interface Ethernet0/0\n""
}"
Permit ICMP echo requests from Router3 LAN to Router2 LAN,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list standar  d permit-icmp-echo-req
    Router3(config-std-acl)# permit icmp any any echo
    Router3(config-std-acl)# exit
    Router3(config)# interface fastethernet 0/0
    Router3(config-if)# ip access-group permit-icmp-echo-req in
    Router3(config-if)# exit
    ```
    ```
    Router2# configure terminal
    Router2",COMPLETED,"Router3# configure terminal
Router3(config)# ip access-list standard permit-icmp-echo-req
Router3(config-std-acl)# permit icmp any any echo
Router3(config-std-acl)# exit
Router3(config)# interface fastethernet0/2
Router3(config-if)# ip access-group permit-icmp-echo-req in
Router3(config-if)# exit

Router2# configure terminal
Router2(config)# ip access-list standard permit-icmp-echo-req-inbound
Router2(config-std-acl)# permit icmp 10.0.2.0 0.0.0.255 any echo
Router2(config-std-acl)# exit
Router2(config)# interface fastethernet0/0
Router2(config-if)# ip access-group permit-icmp-echo-req-inbound in
Router2(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# ip access-list standard permit-icmp-echo-req\nRouter3(config-std-acl)# permit icmp any any echo\nRouter3(config-std-acl)# exit\nRouter3(config)# interface fastethernet0/2\nRouter3(config-if)# ip access-group permit-icmp-echo-req in\nRouter3(config-if)# exit\n\nRouter2# configure terminal\nRouter2(config)# ip access-list standard permit-icmp-echo-req-inbound\nRouter2(config-std-acl)# permit icmp 10.0.2.0 0.0.0.255 any echo\nRouter2(config-std-acl)# exit\nRouter2(config)# interface fastethernet0/0\nRouter2(config-if)# ip access-group permit-icmp-echo-req-inbound in\nRouter2(config-if)# exit""
}"
Deny Telnet traffic from Router4 to any destination,"    ```
    Router4# configure terminal
    Router4(config)# ip access-list extended DENY_TELNET
    Router4(config-ext-nacl)# deny tcp any any eq 23
    Router4(config-ext-nacl)# exit
    Router4(config)# interface serial 0/0
    Router4(config-if)# ip access-group DENY_TELNET in
    Router4(config-if)# exit
    ```",COMPLETED,"Router4# configure terminal
Router4(config)# ip access-list extended DENY_TELNET
Router4(config-ext-nacl)# deny tcp any eq telnet any
Router4(config-ext-nacl)# exit
Router4(config)# interface Ethernet0/0
Router4(config-if)# ip access-group DENY_TELNET in
Router4(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# ip access-list extended DENY_TELNET\nRouter4(config-ext-nacl)# deny tcp any eq telnet any\nRouter4(config-ext-nacl)# exit\nRouter4(config)# interface Ethernet0/0\nRouter4(config-if)# ip access-group DENY_TELNET in\nRouter4(config-if)# exit""
}"
Allow SSH traffic from Router2 LAN to Router1 LAN,"    ```
    Router1# configure terminal
    Router1(config)# ip access-list extended SSH-ALLOW
    Router1(config-ext-nacl)# permit ip any any
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# exit
    Router1(config)#",COMPLETED,"Router1# configure terminal
Router1(config)# ip access-list extended SSH-ALLOW
Router1(config-ext-nacl)# permit tcp host 10.0.23.2 eq 22 any
Router1(config-ext-nacl)# exit
Router1(config)# interface fastethernet 0/0
Router1(config-if)# ip address 192.168.1.1 255.255.255.0
Router1(config-if)# exit
Router1(config)# line vty 0 4
Router1(config-line)# access-class SSH-ALLOW in
Router1(config-line)# exit
Router1(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# ip access-list extended SSH-ALLOW\nRouter1(config-ext-nacl)# permit tcp host 10.0.23.2 eq 22 any\nRouter1(config-ext-nacl)# exit\nRouter1(config)# interface fastethernet 0/0\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter1(config-if)# exit\nRouter1(config)# line vty 0 4\nRouter1(config-line)# access-class SSH-ALLOW in\nRouter1(config-line)# exit\nRouter1(config)#""
}"
Permit SNMP traffic from Management Network to all routers,"    ~~~mgmt_router~~~~
    snmp-server enable traps
    snmp-server host 10.1.1.100 version 2c
    snmp-server community public
    snmp-server group public v2c
    snmp-server group public v3 auth md5 public
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv aes 128
    snmp-server group public v3 priv a",COMPLETED,"snmp-server enable traps
snmp-server host 10.1.1.100 version 2c public
snmp-server community public
snmp-server group public v2c
snmp-server group public v3 auth md5 public
snmp-server group public v3 priv aes 128
access-list mgmt-acl permit udp any host 10.1.1.100 eq snmp
access-list mgmt-acl permit tcp any host 10.1.1.100 eq snmp
interface Ethernet0/0
 ip access-group mgmt-acl in
interface Ethernet0/1
 ip access-group mgmt-acl in
interface Ethernet0/2
 ip access-group mgmt-acl in","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""snmp-server enable traps\nsnmp-server host 10.1.1.100 version 2c public\nsnmp-server community public\nsnmp-server group public v2c\nsnmp-server group public v3 auth md5 public\nsnmp-server group public v3 priv aes 128\naccess-list mgmt-acl permit udp any host 10.1.1.100 eq snmp\naccess-list mgmt-acl permit tcp any host 10.1.1.100 eq snmp\ninterface Ethernet0/0\n ip access-group mgmt-acl in\ninterface Ethernet0/1\n ip access-group mgmt-acl in\ninterface Ethernet0/2\n ip access-group mgmt-acl in""
}"
Deny FTP traffic from Router1 to external networks,"    ```
    Router1(config)# ip access-list extended DENY_FTP
    Router1(config-ext-nacl)# deny ftp any any
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# ip access-group DENY_FTP in
    ```",COMPLETED,"Router1(config)# ip access-list extended DENY_FTP
Router1(config-ext-nacl)# deny tcp any eq ftp any eq ftp
Router1(config-ext-nacl)# exit
Router1(config)# interface fastethernet 0/0
Router1(config-if)# ip access-group DENY_FTP in
Router1(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1(config)# ip access-list extended DENY_FTP\nRouter1(config-ext-nacl)# deny tcp any eq ftp any eq ftp\nRouter1(config-ext-nacl)# exit\nRouter1(config)# interface fastethernet 0/0\nRouter1(config-if)# ip access-group DENY_FTP in\nRouter1(config-if)# exit""
}"
Allow DNS traffic from LAN to WAN on Router3,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list extended DNS_ALLOW
    Router3(config-ext-nacl)# permit udp any any eq 53
    Router3(config-ext-nacl)# exit
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip access-group DNS_ALLOW in
    Router3(config-if)# exit
    ```",COMPLETED,"Router3# configure terminal
Router3(config)# ip access-list extended DNS_ALLOW
Router3(config-ext-nacl)# permit udp any eq 53 any eq 53
Router3(config-ext-nacl)# exit
Router3(config)# interface Ethernet0/2
Router3(config-if)# ip access-group DNS_ALLOW in
Router3(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# ip access-list extended DNS_ALLOW\nRouter3(config-ext-nacl)# permit udp any eq 53 any eq 53\nRouter3(config-ext-nacl)# exit\nRouter3(config)# interface Ethernet0/2\nRouter3(config-if)# ip access-group DNS_ALLOW in\nRouter3(config-if)# exit""
}"
Permit ICMP echo replies from WAN to LAN on Router4,"    ```cisco
    Router4# configure terminal
    Router4(config)# ip access-list extended WAN-to-LAN
    Router4(config-ext-nacl)# permit icmp any any echo-reply
    Router4(config-ext-nacl)# exit
    Router4(config)# interface FastEthernet0/0
    Router4(config-if)# ip access-group WAN-to-LAN in
    Router4(config-if)# exit
    ```",COMPLETED,"Router4# configure terminal
Router4(config)# ip access-list extended WAN-to-LAN
Router4(config-ext-nacl)# permit icmp any any echo-reply
Router4(config-ext-nacl)# exit
Router4(config)# interface Ethernet0/1
Router4(config-if)# ip access-group WAN-to-LAN in
Router4(config-if)# exit
Router4(config)# interface Ethernet0/2
Router4(config-if)# ip access-group WAN-to-LAN in
Router4(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# ip access-list extended WAN-to-LAN\nRouter4(config-ext-nacl)# permit icmp any any echo-reply\nRouter4(config-ext-nacl)# exit\nRouter4(config)# interface Ethernet0/1\nRouter4(config-if)# ip access-group WAN-to-LAN in\nRouter4(config-if)# exit\nRouter4(config)# interface Ethernet0/2\nRouter4(config-if)# ip access-group WAN-to-LAN in\nRouter4(config-if)# exit""
}"
Deny UDP traffic on port 69 from LAN to WAN on Router2,"    ```
    Router2# configure terminal
    Router2(config)# access-list 101 deny udp any any eq 69
    Router2(config)# interface fastethernet 0/1
    Router2(config-if)# ip access-group 101 in
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# access-list 101 deny udp any any eq 69
Router2(config)# interface fastethernet 0/1
Router2(config-if)# ip access-group 101 in
Router2(config-if)# exit
Router2(config)# interface Ethernet0/0
Router2(config-if)# ip access-group 101 out","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# access-list 101 deny udp any any eq 69\nRouter2(config)# interface fastethernet 0/1\nRouter2(config-if)# ip access-group 101 in\nRouter2(config-if)# exit\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# ip access-group 101 out\n""
}"
Allow NTP traffic from Router4 to external time servers,"    ```cisco
    Router4# configure terminal
    Router4(config)# ip ntp server 10.1.1.1
    Router4(config)# ip ntp server 10.1.1.2
    Router4(config)# ip ntp server 10.1.1.3
    Router4(config)# ip ntp server 10.1.1.4
    Router4(config)# ip ntp authentication key 1
    Router4(config)# ip ntp authentication mode md5
    Router4(config)# ip n",COMPLETED,"Router4# configure terminal
Router4(config)# ip ntp server 10.1.1.1
Router4(config)# ip ntp server 10.1.1.2
Router4(config)# ip ntp server 10.1.1.3
Router4(config)# ip ntp server 10.1.1.4
Router4(config)# ip ntp authentication-key 1 md5 <password>
Router4(config)# ip ntp authentication-mode key 1","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router4# configure terminal\nRouter4(config)# ip ntp server 10.1.1.1\nRouter4(config)# ip ntp server 10.1.1.2\nRouter4(config)# ip ntp server 10.1.1.3\nRouter4(config)# ip ntp server 10.1.1.4\nRouter4(config)# ip ntp authentication-key 1 md5 <password>\nRouter4(config)# ip ntp authentication-mode key 1""
}"
Permit SMTP traffic from Router1 LAN to Router3 LAN,"    ```cisco
    Router1# configure terminal
    Router1(config)# ip access-list extended ALLOW_SMTP
    Router1(config-ext-nacl)# permit tcp any any eq 25
    Router1(config-ext-nacl)# exit
    Router1(config)# interface fastethernet 0/1
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0",COMPLETED,"Router1# configure terminal
Router1(config)# ip access-list extended ALLOW_SMTP
Router1(config-ext-nacl)# permit tcp host 10.0.1.10 eq 25 any
Router1(config-ext-nacl)# exit
Router1(config)# interface fastethernet 0/1
Router1(config-if)# ip address 192.168.1.1 255.255.255.0","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# ip access-list extended ALLOW_SMTP\nRouter1(config-ext-nacl)# permit tcp host 10.0.1.10 eq 25 any\nRouter1(config-ext-nacl)# exit\nRouter1(config)# interface fastethernet 0/1\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0""
}"
Deny SNMP traffic from WAN to LAN on Router2,"    ```cisco
    Router2# configure terminal
    Router2(config)# snmp-server host 192.168.1.100 deny
    Router2(config)# exit
    ```",COMPLETED,"Router2# configure terminal
Router2(config)# snmp-server host 192.168.1.100 deny
Router2(config)# access-list 100 deny udp any eq snmp any
Router2(config)# interface Ethernet0/0
Router2(config-if)# ip access-group 100 in
Router2(config-if)# exit
Router2(config)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router2# configure terminal\nRouter2(config)# snmp-server host 192.168.1.100 deny\nRouter2(config)# access-list 100 deny udp any eq snmp any\nRouter2(config)# interface Ethernet0/0\nRouter2(config-if)# ip access-group 100 in\nRouter2(config-if)# exit\nRouter2(config)# exit\n""
}"
Allow TFTP traffic from Router3 to Router4,"    ```
    Router3# configure terminal
    Router3(config)# ip access-list extended TFTP_ALLOW
    Router3(config-ext-nacl)# permit udp any eq 69 Router4
    Router3(config-ext-nacl)# exit
    Router3(config)# interface FastEthernet0/0
    Router3(config-if)# ip address 192.168.1.3 255.255.255.0
    Router3(config-if)# exit
",COMPLETED,"Router3# configure terminal
Router3(config)# ip access-list extended TFTP_ALLOW
Router3(config-ext-nacl)# permit udp any eq 69 10.0.34.2
Router3(config-ext-nacl)# exit
Router3(config)# interface FastEthernet0/0
Router3(config-if)# ip address 192.168.1.3 255.255.255.0
Router3(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router3# configure terminal\nRouter3(config)# ip access-list extended TFTP_ALLOW\nRouter3(config-ext-nacl)# permit udp any eq 69 10.0.34.2\nRouter3(config-ext-nacl)# exit\nRouter3(config)# interface FastEthernet0/0\nRouter3(config-if)# ip address 192.168.1.3 255.255.255.0\nRouter3(config-if)# exit""
}"
Permit HTTPS traffic from LAN to WAN on Router1,"
    ~~~Router1~~~~
    interface FastEthernet0/0
    ip address 192.168.1.1 255.255.255.0
    ip http server
    ip http secure-server
    exit
    ~~~Router2~~~~
    interface FastEthernet0/0
    ip address 192.168.2.1 255.255.255.0
    ip http server
    ip http secure-server",COMPLETED,"~~~Router1~~~~
    interface Ethernet0/0
    ip address 10.0.1.1 255.255.255.0
    no shutdown
    exit
    ip http server
    ip http secure-server
    access-list 1 permit tcp any eq https
    line vty 0 4
    access-class 1 in
    exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ~~~Router1~~~~\n    interface Ethernet0/0\n    ip address 10.0.1.1 255.255.255.0\n    no shutdown\n    exit\n    ip http server\n    ip http secure-server\n    access-list 1 permit tcp any eq https\n    line vty 0 4\n    access-class 1 in\n    exit""
}"
