question,answer,ground_truth_category
How do you enable HSRP Version 2 on an interface?,"To enable HSRP Version 2 on an interface, use the following command in global configuration mode:
```
Router(config)# interface type number
Router(config-if)# standby version 2
```
Optional command for IPv6 operation:
```
Router(config-if)# standby ipv6 [ipv6-address]
```
Example:
```
Router(config)# interface FastEthernet0/1
Router(config-if)# standby version 2
Router(config-if)# standby ip 192.168.1.1 255.255.255.0
Router(config-if)# standby ipv6 2001:db8:1234::1/64
```
Note: Replace `type number` with the actual interface type and number, such as `FastEthernet0/1`, and replace `ipv6-address` with the desired IPv6 address.",DIAG
How do you configure a Cisco router to implement different policies for certificate requests from two Certificate Authorities (CAs) in the same hierarchy?,"To implement different policies for certificate requests from two CAs in the same hierarchy, you can use the `crypto ca` command on your Cisco router. Specifically, you would use the following commands:

For the CA that can automatically grant certificate requests:
```
Router(config)# crypto ca server <server_name>
Router(config)# crypto ca auto-enroll 1
```

For the CA that requires manual granting of certificate requests:
```
Router(config)# crypto ca server <server_name>
Router(config)# no crypto ca auto-enroll
```

In this example, `<server_name>` is the name of the Certificate Authority.

By using the `no crypto ca auto-enroll` command for the second CA, you are disabling automatic enrollment and requiring manual enrollment for certificate requests from that particular CA. This allows you to implement different policies for different CAs in the same hierarchy, as required by your configuration.

Note: These commands are based on Cisco IOS software.",PKI
What is the NTP configuration used in this control plane?,"```
ntp source Loopback0
ntp master 3
```

These commands configure the NTP (Network Time Protocol) settings for this control plane. The `ntp source` command specifies the IP address of the NTP server, which in this case is `Loopback0`. The `ntp master` command sets the priority of this device as an NTP master clock, with a value of 3 indicating that it will act as a primary time source for other devices on the network.",QoS
How do you configure a community string for SNMP on a Cisco device?,"To create or modify a community string for SNMP on a Cisco device, use the following command:

`snmp-server community string <community_string> [view <view_name>] [ro | rw] [ipv6 nacl] [access-list-number <access_list_number>]`

Example:
```
Router(config)# snmp-server community public readonly 1
```
This sets up a read-only SNMP community with the string ""public"" and assigns it to access list number 1. The `view` option is used to specify which view the community string belongs to, and the `[ro | rw]` options allow you to configure the community for read-only (RO) or read-write (RW) access.",ACL
What is the recommended continuity-check interval in Cisco IOS?,"```
Router(config)# timers continuity-check 3.3
```

This command sets the continuity-check interval to 3.3 seconds in Cisco IOS. The continuity-check feature verifies the physical connectivity of a serial link by sending test patterns and checking for errors. By adjusting this timer, you can fine-tune the frequency at which these tests are run.",MNG
What is the recommended configuration for using PfRv3 Inter-DC Optimization at hub sites?,"According to the requirement, for using PfRv3 Inter-DC Optimization at hub sites, all master and border devices must run the same version of IOS. Additionally, static NHRP mapping should be used between hub sites, as NHRP shortcuts are not allowed between hub sites.

Example Cisco IOS code:
```
Router(config)# ip cef pf-rv3
Router(config)# nhrp map static 10.1.1.0/24 192.168.1.1
Router(config)# nhrp map static 10.2.2.0/24 192.168.1.2
```
Note: The above code is a simplified example and may need to be modified based on the specific network configuration and requirements.",RP
How can we ensure that the variance between external links and internet links is less than 20%?,"To achieve this requirement, we can use Cisco's Policy-Based Routing (PBR) feature to control the routing of traffic to specific destinations. Specifically, we can configure a PBR policy with a threshold variance of 20%.

Here's an example Cisco IOS code snippet:
```cisco
policy-map external_links
  class internet_links
    bandwidth percent 80
  class external_links
    bandwidth percent 20

policy-map internet_links
  class external_links
    bandwidth percent 20
  class internet_links
    bandwidth percent 80

int e0/1
  service-policy input external_links

int e0/2
  service-policy input internet_links
```
In this example, we define two policy maps: `external_links` and `internet_links`. The `external_links` policy map sets the bandwidth to 20% for traffic destined for external links, while the `internet_links` policy map sets the bandwidth to 80% for traffic destined for internet links.

We then apply these policies to specific interfaces using the `service-policy input` command. This ensures that traffic is routed according to our desired variance threshold of 20%.

By configuring PBR with a threshold variance of 20%, we can control the routing of traffic and ensure that the variance between external links and internet links remains within our required limits.",QoS
How can you configure an NHRP Group to be mapped to a QoS Policy on the Hub?,"To map an NHRP Group to a QoS Policy on the Hub, follow these steps:

1. Enable NHRP:
```
enable
```

2. Configure terminal:
```
configure terminal
```

3. Interface tunnel number:
```
interface tunnel number
```

4. Map NHRP group to QoS policy:
```
nhrp map group <group-name> service-policy output qos-policy-map-name
```

5. End the configuration session:
```
end
```

Example:
```
enable
configure terminal
interface tunnel 100
nhrp map group MyGroup service-policy output MyQosPolicy
end
```

Note: Replace `<group-name>` and `MyQosPolicy` with your actual values.",DIAG
How do you attach a policy map to an input or output interface in Cisco IOS?,"To attach a policy map to an input or output interface in Cisco IOS, follow these steps:

1. Enter global configuration mode using the command `configure terminal`
2. Specify the interface and enter interface configuration mode using the command `interface type number`, where `type` is the type of interface (e.g. Ethernet) and `number` is the specific interface number (e.g. 0/0)
3. Attach the policy map to the input or output interface using the command `service-policy type performance-monitor {input | output} policy-name`, where `policy-name` is the name of the policy map.

Example:
```
configure terminal
interface Ethernet0/0
service-policy input my_policy_map
```",MNG
What happens to packets destined to the control plane when an input QoS policy map is configured on the Cisco ASR 1K Series Router?,"When an input QoS policy map is configured on the control plane of a Cisco ASR 1K Series Router, the active forwarding plane performs the QoS action before punting packets to the active RP.

This can be confirmed using Cisco IOS code as follows:

Router(config)# policy-map input QOS_POLICY
Router(config-pmap)# class CLASS_NAME
Router(config-pmap-c)# police rate 1000000 burst-size 20000
Router(config-pmap-c)#

In this example, an input QoS policy map named ""QOS_POLICY"" is configured on the control plane. The policy map applies to traffic that matches the class name ""CLASS_NAME"". Within the policy map, a police action is configured to limit the traffic rate to 1 million packets per second and burst size to 20,000 packets. This QoS policy will be enforced by the active forwarding plane before packets are punted to the active RP for further processing.",QoS
How do you configure an Easy VPN Client to use Network Address Translation (NAT) or Peer Address Translation (PAT) in mode client?,"How do you configure an Easy VPN Client to use Network Address Translation (NAT) or Peer Address Translation (PAT) in mode client?

**Answer:**
To configure an Easy VPN Client to use Network Address Translation (NAT) or Peer Address Translation (PAT) in mode client, you can use the following Cisco IOS command:
```router(config-isakmp-ez-pvy)# mode client
```
This sets the mode of the Easy VPN Client to ""client"", which enables NAT/PAT translation for outgoing traffic. You can also specify an Encrypted Preshared Key (EPK) for authentication and encryption:
```router(config-isakmp-ez-pvy)# encrypted-pre-shared-key <key>
```
For example:
```router(config-isakmp-ez-pvy)# mode client; encrypted-pre-shared-key 0x1234567890123456
```
Note: The actual key value should be replaced with a suitable encryption key.",DIAG
What is the mask used for subnetting the Class B IP address 172.16.0.0 to divide it into 16 subnetworks?,"To subnet the Class B IP address 172.16.0.0 and divide it into 16 subnetworks, we can use the following Cisco IOS command:

```
Router(config)# ip subnet 172.16.0.0 mask 255.255.240.0
```

In this example, the mask `255.255.240.0` has the first 16 bits set to `1`s (reserved for the network ID), the next 4 bits set to `0`s (reserved for subnetting), and the remaining 12 bits set to `1`s (reserved for host IDs). This allows us to create 16 unique subnetworks within the Class B IP address 172.16.0.0.

This mask can be verified using the Cisco IOS command:

```
Router# show ip addr
```

which would display the subnetting information, including the mask used for subnetting.",DIAG
How can we request authorization information from a TACACS+ or RADIUS server before allowing a user to establish a reverse Telnet session?,"To request authorization information from a TACACS+ or RADIUS server before allowing a user to establish a reverse Telnet session, you can use the following command in global configuration mode:
```
Router(config)# aaa authorization reverse-access
```
This command requests authentication information from a TACACS+ or RADIUS server before allowing a user to establish a reverse TelNet session.",PKI
"How do you configure class-maps to classify traffic into different classes, such as voice and video, on a Cisco ASR 1000 Series Aggregation Services Router?","To configure class-maps to classify traffic into different classes, such as voice and video, on a Cisco ASR 1000 Series Aggregation Services Router, you can use the Modular QoS CLI (MQC) command-line interface. Here's an example:

Router(config)# class-map match-any my-voice-class
Router(config-cmap)# match ip dscp ef

Router(config)# class-map match-any my-video-class
Router(config-cmap)# match ip afi 41

In this example, we create two class-maps: `my-voice-class` and `my-video-class`. We then define the matching criteria for each class using the `match` command. For the voice class, we specify that it matches on IP DSCP values equal to ef (0x0Ef). For the video class, we specify that it matches on AF41.

You can use these class-maps as input for QoS policies and apply them to specific interfaces or VPNs to control traffic flow and ensure priority treatment of critical applications like voice and video.",TN
What type of IP address is used for routing traffic during a redundancy group failover?,"The virtual IP address (VIP) is used for routing traffic during a redundancy group failover.

Example Cisco IOS command:
```
ip redundant-group 10 vrrp
```",INF
What is the limitation of Application-Level Gateway (ALG) support for firewall and NAT in this configuration?,"According to the configuration, ALG support for firewall and NAT only supports traffic that reaches destination port 135. This means that ALG can interpret application-layer protocol and perform actions such as allowing dynamic TCP or UDP ports, recognizing application-specific commands, synchronizing multiple streams of data, and translating network-layer address information, but only for traffic destined to port 135.

Here's a possible Cisco IOS code snippet to reflect this configuration:

```
ip alg
alg port 135
```",ACL
How do you implement QoS feature in a policy map using CBWFQ (Class-Based Weighted Fair Queuing)?,"To implement QoS feature in a policy map using CBWFQ, you can follow these steps:

Step 1: Define the policy map by entering the command ""Device(config)# policy-map policy1""

Step 2: Specify the class within the policy map by entering the command ""Device(config-pmap)# class class1""

Step 3: Configure the bandwidth allocation for the specified class using CBWFQ by entering the command ""Device(config-pmap-c)# bandwidth percent 50""

Here is the example configuration:

```
Device(config)# policy-map policy1
Device(config-pmap)# class class1
Device(config-pmap-c)# bandwidth percent 50
Device(config-pmap-c)# end
```",QoS
How can we configure dynamic inside source translation with asymmetric routing for each RG in an asymmetric flow diversion tunnel?,"How can we configure dynamic inside source translation with asymmetric routing for each RG in an asymmetric flow diversion tunnel?

Answer:
To achieve this configuration, you would use the following command:

Device(config-if)# redundancy asymmetric-routing enable

This command enables asymmetric routing, which allows you to specify different routes for each route group (RG). This is useful when you want to configure dynamic inside source translation with asymmetric routing in an asymmetric flow diversion tunnel.

Example:
Step 6: Device(config-if)# redundancy asymmetric-routing enable
Step 7: Device(config-if)# end

Note: The ""Device(config-if)"" prompt indicates that this command should be entered in configuration mode, and the ""# end"" command is used to exit configuration mode.",DIAG
"How do you configure QoS settings for each class (video, gaming, VoIP, and default) in Cisco IOS?","To classify network traffic into video, gaming, VoIP, and default classes with bandwidth and policing settings, follow these steps:

**Video Class:**
```
class-map match-any video
  match protocol rtp range 64-126
policy-map video_policy
  class video
    police cir 2000000 bps bc 300 ms pir percent 40
  set cos 2
```

**Gaming Class:**
```
class-map match-any gaming
  match protocol udp port-range 27000 27999
policy-map gaming_policy
  class gaming
    bandwidth remaining percent 80
  set cos 3
```

**VoIP Class:**
```
class-map match-any voip
  match protocol rtp range 16-47
policy-map voip_policy
  class voip
    police cir 250000 bps bc 4 ms pir 1 ms
  set cos 2
```

**Default Class:**
```
class-map match-any default
  match any
policy-map default_policy
  class default
    bandwidth remaining percent 20
    police cir 2000000 bps bc 300 ms pir percent 40
  set cos 1
```

Note that these configurations are based on Cisco IOS syntax and may vary depending on the specific device model and software version.",QoS
How does the designated router (DR) handle tasks in a PIM-based multicast network that uses IGMP?,"In our PIM-based multicast network that uses IGMP, the DR is elected through an election process where devices with higher IP addresses are given priority. The elected DR plays a crucial role in handling various tasks.

To configure the DR on a Cisco router, we can use the following commands:
```
Router(config)# ip pim sparse-mode
Router(config)# ip igmp query-time 60
Router(config)# ip igmp join-group <group-address>
Router(config)# ip pim send-rp-announce <RP-address> scope <scope>
Router(config)# ip pim send-grps
```
In the above configuration, we set the router to operate in sparse mode using `ip pim sparse-mode`. We also configure the DR to send IGMP host-query messages every 60 seconds using `ip igmp query-time 60`.

The DR is responsible for sending PIM register, Join, and Prune messages toward the rendezvous point (RP) using `ip pim send-rp-announce` and `ip pim send-grps`. This ensures that multicast traffic is efficiently forwarded in our network.

For example:
```
Router(config)# ip pim send-rp-announce 233.1.1.1 scope 224.0.0.0
Router(config)# ip pim send-grps
```",QoS
How can we extend the QoS Packet Matching Statistics feature to track the number of packets and bytes matching individual access control elements (ACEs) used in a filter?,"To achieve this, you need to use the `show access-lists` command to display per-ACE statistics. Here's an example:

Router# show access-lists

This will display a list of access-control lists (ACLs) and their corresponding ACEs.

Next, define a QoS packet filter using the `match` clause within the class-map definition of your quality-of-service (QoS) policy-map. For example:

 Router(config)# policy-map my_policy
Router(config-pmap)# class my_class
Router(config-pmap-c)# match ip dscp 10

This defines a filter that matches IP packets with a DSCP value of 10.

Finally, use the `show` command to display the number of packets and bytes matching this filter:

 Router# show policy-map my_policy interface gigabitethernet0/0

This will display statistics for all ACEs used in the filter, including the number of packets and bytes matching each ACE. For example:

 Policy Map my_policy (2 matches)

  Class my_class (1 match)

    10000 packets, 800000 bytes

    50 packets, 4000 bytes (ACE 1)
    9000 packets, 720000 bytes (ACE 2)

In this example, the filter matches a total of 10,000 packets and 8,000,000 bytes. The ACEs used in the filter are ACE 1 and ACE 2, which match 50 packets and 4,000 bytes, and 9,000 packets and 7,200,000 bytes, respectively.

By using these commands, you can extend the QoS Packet Matching Statistics feature to track the number of packets and bytes matching individual ACEs used in a filter.",DIAG
What is the correct command to configure the IP address and speed settings for the GigabitEthernet6 interface?,"To set the IP address of the GigabitEthernet6 interface to 255.255.255.0, set its speed to 1,000 Mbps (1Gbps), and disable automatic negotiation, you can use the following Cisco IOS command:

`interface GigabitEthernet6
 ip address 255.255.255.0
 speed 1000
 no auto`
```
Note: The `no auto` command is used to disable automatic negotiation for the interface.
```",INF
What is the QoS policy applied to voice traffic with specific IP lists in the given configuration?,"According to the configuration, the QoS policy applied to voice traffic with specific IP lists is a policing policy that limits the throughput to 10000 kbps (conform-action transmit) and drops excess packets. The policy map ""input_child$voice-toi"" applies this policy to IP addresses in the ranges 10.1.30.0/28 and 10.1.40.0/29.

Here's the relevant code snippet:

`Policy Map: 
input_parent $class-default $voice-to-ip>ip_list=10.1.30.0/28,10.1.40.0/29<_IN $class-default
Class Voice-Control-10.1.30.0/28,10.1.40.0/29:
Police 112000 21000 0 conform-action transmit exceed-action drop
Set Precedence 7
AAA-Accounting Group IPOne-aol`

This policy sets the precedence to 7 and applies policing with a rate of 112000 kbps (conform-action transmit) and drops excess packets. The AAA-accounting group is set to ""IPOne-aol"".",QoS
How can we configure object tracking for line protocol state or reachability of an IP route and notify client processes when tracked objects change state?,"To configure object tracking for line protocol state or reachability of an IP route, you can use the `standby track` command under HSRP group configuration. Additionally, you can include the `shutdown` keyword to shut down the standby router when the tracked object changes state.

Here's the example configuration:
```cisco
Router(config)# interface fastethernet 0/1
Router(config-if)# ip address 192.168.1.1 255.255.255.0
Router(config-if)# standby 1 ip 192.168.1.2
Router(config-if)# standby 1 timers 9 27
Router(config-if)# standby 1 track FastEthernet0/1 line-protocol
Router(config-if)# standby 1 shutdown
```
In this example, the `standby track` command is used to track the line protocol state of interface FastEthernet0/1. When the tracked object changes state (i.e., the link goes down), the standby router will shut down using the `shutdown` keyword.",RP
What commands would you use to configure filtering of IGMP sources for a specific group on a Cisco router?,"To filter a source S for a Group G, you can follow these steps:

1. Create an extended access-list (test4) that permits the IGMP host and denies other sources for the specific group:
```cisco
Router(config)# ip access-list standard test4
Router(config-std-access-map)# permit 224.0.0.0 0.0.0.255 host S
Router(config-std-access-map)# deny any
```
2. Apply the access-list to the interface using the ""ip igmp access-group"" command:
```cisco
Router(config-if)# ip igmp access-group test4
```

Note: Replace `S` with the actual IP address of the source you want to filter and `G` with the specific group IP address (e.g., 224.0.1.1).",ACL
How can we disable vTCP support for MSRPC ALG on Cisco IOS?,"To disable vTCP support for MSRPC ALG on Cisco IOS, you can use the following command in your router's configuration:

`no alg vtcp service msrpc`

This command is used to disable the virtual TCP (vTCP) support for Microsoft Remote Procedure Call (MSRPC) Algorithmic Labeling (ALG). By disabling this feature, you can prevent potential issues with MSRPC traffic on your network.

Example Cisco IOS code:
```
router(config)# interface GigabitEthernet0/1
router(config-if)# no alg vtcp service msrpc
```",ACL
"What is the purpose of the ""match protocol http"" command in the given configuration?","The ""match protocol http"" command in the configuration is used to specify that the ACL (Access Control List) should only consider HTTP traffic for inspection using ""pmap1"". This ensures that the ACL inspects and matches only HTTP packets, denying or permitting them according to the rules defined in access-list 102.

Here's the relevant code snippet:

`match protocol http;`

This command is part of the class-map configuration, which defines a set of matching criteria for traffic inspection. In this case, it specifies that the ACL should match and inspect only HTTP packets.",QoS
How can you define server groups that use the cache information in each cache profile group?,"To define server groups that use the cache information in each cache profile group, you can use the following command:
```
aaa group server tacacs+ admins@companyname.com; server 10.1.1.1; server 10.20.1.1;
cache authentication profile admin_users
cache authorization profile admin_users
```
In this example, the `aaa group server` command defines a new server group that uses the cache information from each cache profile group. The `tacacs+` keyword specifies the authentication protocol to use for the server group, and the `admins@companyname.com` parameter specifies the username and domain to use for authentication. The `server 10.1.1.1; server 10.20.1.1;` parameters specify the IP addresses of the servers that will be included in the server group.

The `cache authentication profile admin_users` command specifies the authentication profile to use for the server group, and the `cache authorization profile admin_users` command specifies the authorization profile to use.

This configuration allows you to define a server group that uses the cache information from each cache profile group, which can help improve the performance and scalability of your network.",PKI
How do you set the encapsulation mode for a tunnel interface and associate it with an IPsec profile?,"```
Router# configure terminal
Router(config)# int tun1
Router(config-if)# encapsulation {aurp | cayman | dvmrp | eon | gre | gre multipoint | gre ipv6 | ipip [decapsulate-any] | ipsec ipv4 | iptalk | ipv6 | ipsec ipv6 | mpls | nos | rbscp} tunnel-destination 2001:db8:1234:5678
Router(config-if)# tunnel protection ipsec profile name <shared>
```
For example:
```
Router# configure terminal
Router(config)# int tun1
Router(config-if)# encapsulation ipip decapsulate-any tunnel-destination 2001:db8:1234:5678
Router(config-if)# tunnel protection ipsec profile name my_shared_profile
```",TN
What type of congestion management protocol can be used to control packet ordering based on priority assignments?,"The required congestion management protocol is the ""Priority Queueing"" (PQ) feature, which allows for controlling packet order based on priorities assigned to those packets.

To configure Priority Queueing on a Cisco router, you can use the following IOS command:

`queue-list 1 queue-input max-queue 4 priority high`

This command creates four queues and assigns the highest priority to the first queue. The `priority high` keyword specifies that the highest-priority traffic should be sent first during periods of light or heavy traffic.

You can also use other queueing protocols such as:

* Custom Queuing (CBQ): `queue-list 1 queue-input max-queue 4 bandwidth 1000`
* Weighted Fair Queuing (WFQ): `queue-list 1 queue-input max-queue 4 bandwidth 1000`
* Priority Queueing with Multiple Levels (PQM): `queue-list 1 queue-input max-queue 4 priority high`

These protocols can be used to create different numbers of queues and specify the order in which traffic is sent during periods with light or heavy traffic.",QoS
How do you set the Rising Threshold value for the mteTriggerThresholdRising object?,"To set the Rising Threshold value for the mteTriggerThresholdRising object, use the following command:
```
mteTriggerThresholdRising $ADDRESS private 4.106.111.104.110.1 -i 30
```
This command sets the Rising Threshold value to 30 for the mteTriggerThresholdRising object with IP address `$ADDRESS`.",INF
"What commands would you use to enable IPv6 on the GigabitEthernet 1/1/3 interface and configure NAT64, Redundancy RII, and set the IPv6 address and redundancy group?","To enable IPv6 on the GigabitEthernet 1/1/3 interface, you would use the following command:
```
Device(config-if)# ipv6 enable
```
To disable the interface and then re-enable it with IPv6 enabled, you would use the following commands:
```
Device(config-if)# no shutdown
Device(config-if)# ipv6 enable
```
To configure NAT64 on the interface, you would use the following command:
```
Device(config-if)# nat64 enable
```
To set the IPv6 address and redundancy group, you would use the following commands:
```
Device(config-if)# ipv6 address 2001:db8:1::2/96
Device(config-if)# redundancy rii 100
Device(config-if)# redundancy group 1 ipv6 2001:db8:1::1/96 exclusive decrement 15
```

Note: The commands are based on Cisco IOS configuration, but please keep in mind that the exact syntax and options might vary depending on the specific router model and version.",DIAG
What is the first step in creating a Network Object Group for implementing Access Control Lists (ACLs) in a Cisco network?,"To create a Network Object Group for implementing Access Control Lists (ACLs) in a Cisco network, the first step would be to determine the specific parameters and settings required by the network device and ACL implementation being used. This may involve consulting with a networking expert or consultant to determine the necessary configuration options.

For example, on a Cisco router running IOS, this might involve identifying the type of ACLs being used (e.g. standard, extended, or reflexive), determining the IP address range(s) that will be included in the group, and configuring the necessary commands to create the network object group. Some possible Cisco IOS commands for creating a network object group include:

* `ip access-list <acl-name> permit ip <network-object-group> any`
* `ip access-list <acl-name> deny ip <network-object-group> any`
* `ip address-space acl <acl-name>`

Once the necessary parameters and settings have been determined, the next step would be to create the network object group using the Cisco IOS commands that are specific to the device and ACL implementation being used.",ACL
How can we implement access control with filtering of IGMPv3 messages by group and source addresses?,"To implement access control with filtering of IGMPv3 messages by group and source addresses, we can use IGMP extended access lists (ACLs) in Cisco IOS. Here's an example configuration:

```
Router(config)# ip igmp access-group G permit
Router(config)# ip igmp access-source S deny
```

In this example, the `ip igmp access-group` command allows IGMPv3 reports with group address `G` to be permitted. The `ip igmp access-source` command denies IGMPv3 reports with source address `S`.

Additionally, we can use a more specific ACL syntax to filter IGMPv3 messages based on both source and group addresses:

```
Router(config)# ip igmp access-list my-igmp-acl permit src-host S group G
Router(config)# ip igmp access-group my-igmp-acl in
```

In this example, the `ip igmp access-list` command creates an ACL that permits IGMPv3 reports with source address `S` and group address `G`. The `ip igmp access-group` command applies this ACL to incoming IGMPv3 messages.

By using these IGMP ACLs, we can effectively filter IGMPv3 messages based on both source and group addresses, providing the desired access control and security for our multicast network.",ACL
What is the command to enter privileged mode in Cisco IOS?,"The command to enter privileged mode in Cisco IOS is ""enable"". This can be entered as follows:

Device> enable

(Note: Please note that you will be prompted to enter your password if not already logged in with a valid username and password. In this case, I assume the requirement is to enter the password if prompted.)",DIAG
How can we monitor and classify traffic by the published application name using Server Browser Mode on the master browser?,"To monitor and classify traffic by the published application name, you can use NBAR (Network Based Application Recognition) with the following configuration:
```
match protocol citrix app <application-name-string>
```
This command uses a regular expression search on the packet contents to identify traffic related to the specified application. The `app` keyword is used to specify the application name, and the `<application-name-string>` argument should be replaced with the actual application name you want to monitor.

Example:
```
match protocol citrix app ""Citrix HDX""
```
This configuration will allow NBAR to track and monitor traffic related to Citrix HDX applications.",MNG
How do we configure Idling Policy in PIM to manage VCs based on their activity rate?,"To configure the Idling Policy in PIM to manage VCs based on their activity rate and prevent excessive VC usage, you can use the ""ip pim minimum-vc-rate"" command on the ATM interface. This command sets the minimum activity rate threshold for VC idling.

Example:
```
Router(config)# interface atm 0/1
Router(config-if)# ip pim minimum-vc-rate 10000
```
This configuration sets the minimum activity rate threshold to 10,000 bytes per second. Any VCs with an activity rate below this threshold will be considered idle and will be subject to idling policy.

Note: The ""ip pim minimum-vc-rate"" command is only available on Cisco routers running PIM (Protocol Independent Multicast) software.",RP
"What is the purpose of the ""class-map"" command with the value ""ipv6-class"" in this configuration?","The purpose of the ""class-map"" command with the value ""ipv6-class"" is to create a class map that matches IPv6 traffic. The ""match-any"" keyword specifies that the class map will match any IPv6 traffic, regardless of whether it's incoming or outgoing.

Here's an example of how this configuration might be implemented in Cisco IOS:
```
Router(config)# service-policy inspect in-to-out
Router(config)# class-map ipv6-class
  Router(config-cmap)# match-any
Router(config-cmap)# exit
```",QoS
** What is the role of Router D in the Multicast Distribution Shared Tree with group 224.2.2.2 as the common rendezvous point?,"**
Router D acts as the **Rendezvous Point (RP)** for group 224.2.2.2, which means it is responsible for receiving and forwarding multicast packets to other routers in the shared tree. This is achieved by configuring Router D with an IP address of 224.2.2.2 using the `ip pim rp` command:

Router D(config)# ip pim rp 224.2.2.2

This allows other routers in the network to register with Router D and receive multicast traffic for group 224.2.2.2.

**Note:** The above configuration is a simplified example and may require additional settings depending on the specific network topology and requirements.",RP
What command is used to establish a static route for a VRF instance and a VASI interface?,"Device(config)# ip route vrf VRFLEFT 172.16.0.0

Explanation:
To establish a static route for a VRF instance and a VASI interface, the correct command is ""ip route vrf"" followed by the name of the VRF instance (""VRFLEFT"" in this case), then the destination network address and netmask.

Note: The above configuration sets up a VRF instance named ""VRFLEFT"" on a VASI interface with an IP address of 192.168.0.1/24, and adds a static route to that VRF for the network 172.16.0.0/24.",RP
How to retrieve individual variables from an SNMP entity on a router and perform set requests on specified variables?,"To retrieve individual variables from the SNMP entity on the router and perform set requests on specified variables, you can use the snmp_getnext command.

Here's an example of how to do this:
```
snmp_getnext community-string oid [oid2 oid3...]
```

This command retrieves the next variable in the OID tree that matches the specified OID. For example:

```
Router(config)# snmp_getnext public myrouter .1.3.6.1.4.20.5
```

In this example, the OID is `.1.3.6.1.4.20.5` and the community string is `public`. The command will retrieve the next variable in the OID tree that matches the specified OID.

To perform a set request on a specified variable, you can use the snmp_setany command.

Here's an example of how to do this:
```
snmp_setany community-string oid type val [oid2 type2 val2...]
```

This command sets the value of one or more variables in the OID tree. For example:

```
Router(config)# snmp_setany public myrouter .1.3.6.1.4.20.5 10
```

In this example, the OID is `.1.3.6.1.4.20.5` and the community string is `public`. The command will set the value of the variable at that OID to `10`.

Note: Replace `community-string`, `oid`, and `val` with your actual values.

For example:
```
Router(config)# snmp_setany public myrouter .1.3.6.1.4.20.5 10
```

In this example, the OID is `.1.3.6.1.4.20.5`, the community string is `public`, and the value to set is `10`.",RP
How do you configure the loopback address used as a source for peering with other sites or the master controller in a domain-vrf context?,"To configure the loopback address used as a source for peering with other sites or the master controller, you can use the following command:

Device(config-domain-vrf)# border; source-interface loopback 0

This sets the loopback interface number 0 as the source interface for peering.",INF
How can I ensure unambiguous processing of incoming IPsec QM requests for shared tunnel interfaces using a single SADB instead of multiple SADBs per tunnel interface?,"To achieve this, you can configure the Shared SADB (Security Association Database) and cryptographic map parameters on your router. Here's an example of how to do it in Cisco IOS:
```
crypto ipsec sa shared
 crypto map <map-name> 65535 ipsec-isakmp set peer <peer-ip>
 crypto map <map-name> 65535 ipsec-isakmp set key <tunnel-key>
 crypto map <map-name> 65535 ipsec-isakmp set transform-set <transform-set>

crypto map <map-name> 65535 ipsec-isakmp match address <qmi-group>
```
Replace `<map-name>` with the name of your crypto map, `<peer-ip>` with the IP address of your peer router, `<tunnel-key>` with the shared tunnel key, and `<transform-set>` with the transform set you want to use.

By configuring a single Shared SADB and cryptographic map parameters, you can ensure that incoming QM requests are processed unambiguously for all tunnel interfaces on your router. This is especially important when multiple tunnel interfaces are used to connect to the same peer router.

Note: The above configuration is based on Cisco IOS code and may vary depending on the specific version of your router's software.",TN
How can you configure the redundancy interface identifier (RII) and redundancy group (RG) on a Cisco device?,"To configure the redundancy interface identifier (RII) and redundancy group (RG) on a Cisco device, you can use the following commands in configuration mode:

Device(config-if)# redundancy rii <id>
This command specifies the redundancy interface identifier (RII) for the current interface.

Example:
```
Device(config-if)# redundancy rii 1
```

Device(config-if)# redundancy group <id> decrement <number>
This command configures a redundancy group and specifies the decrement value, which determines how many times the priority must decrease before the standby router takes over as active.

Example:
```
Device(config-if)# redundancy group 1 decrement 10
```

Note: Replace `<id>` with a unique identifier for your redundancy interface or group, and replace `<number>` with the desired decrement value.",QoS
What is the cryptographic configuration for IKEv1/ISAKMP setup on this router?,"crypto isakmp policy <policy_number>
  authentication pre-share
  crypto isakmp key <key_string> 

For example, if we assume the policy number is 10 and the key string is ""my_secret_key"", the answer would be:

crypto isakmp policy 10
  authentication pre-share
  crypto isakmp key my_secret_key",TN
How can you configure a port channel group number and enter interface configuration mode?,"Device# configure terminal; interface port-channel <channel-group-number>

For example:
```
Device# configure terminal
Device(config)# interface port-channel 10
```

This command configures the specified port channel group number (in this case, `10`) and enters interface configuration mode.",INF
"How can you configure a service group to enable TCP Telnet on all interfaces, allow source ports ranging from 1 to 65535 for TCP Telnet, enable UDP for DNS traffic, and permit TCP and UDP traffic on ports ranging from 2,000 to 2,005?","Router(config)# service-group my-nested-object-group
 Router(config-sg)# protocol tcp telnet
 Router(config-sg)# source-range 1 65535 telnet
 Router(config-sg)# protocol udp domain
 Router(config-sg)# range 2,000 2,005
 Router(config-sg)# end

This answer uses Cisco IOS commands to create a service group named ""my-nested-object-group"" and configure the specified protocols, port ranges, and other settings.",MNG
"What is the configuration requirement to enable TACACS+ authorization for commands set at privilege level 2, assuming successful authentication?","```
Router(config)# tacacs-server host 172.16.71.146 auth-port 1645 acct-port 1646
Router(config)# access-list 101 permit host any eq 22
Router(config)# aaa authorization exec default group tacacs+ local
Router(config)# privilege mode 2 level 2
```",ACL
