id,question,ollama,openai,match
899,How can we configure IEEE 802.3ad Link Bundling for Gigabit EtherChannel to ensure all LAN ports in each EtherChannel are the same speed?,CONNECTIVITY,CONNECTIVITY,True
900,How do you configure a port-channel interface before adding interfaces to the channel group?,CONNECTIVITY,CONNECTIVITY,True
901,Why cannot two LAN ports in passive mode form an EtherChannel?,CONNECTIVITY,CONNECTIVITY,True
902,What is the key value required to configure administrative keys for aggregation with other ports using LACP?,CONNECTIVITY,CONNECTIVITY,True
903,How can we implement non-stop forwarding (NSF) and non-stop routing (NSR) on Gigabit EtherChannel bundles?,ROUTING,ROUTING,True
904,What type of Port Channel configuration is required to meet the given requirement?,CONNECTIVITY,CONNECTIVITY,True
905,What are the requirements for configuring LACP on Gigabit interfaces?,CONNECTIVITY,CONNECTIVITY,True
906,How can you enable Cisco Discovery Protocol (CDP) and create a port channel interface on the LAN ports?,CONNECTIVITY,CONNECTIVITY,True
907,How do you configure a port channel and set the channel group mode?,CONNECTIVITY,CONNECTIVITY,True
908,How do you enable and configure a port channel with LACP (Link Aggregation Control Protocol) and assign an IP address?,CONNECTIVITY,CONNECTIVITY,True
909,"What configuration command would you use to set the IP address of Port-channel 10, while disabling negotiation auto and setting the LACP maximum bundle size to 3?",ROUTING,CONNECTIVITY,False
910,How to configure LACP (802.3ad) for Gigabit interfaces and create a port channel with two bundled ports?,CONNECTIVITY,CONNECTIVITY,True
911,How do you assign an interface to a port channel group and set the LACP mode in Cisco IOS?,CONNECTIVITY,CONNECTIVITY,True
912,How can you set the LACP system priority and port priority on a Cisco device?,CONNECTIVITY,CONNECTIVITY,True
913,How can we prioritize LACP (Link Aggregation Control Protocol) in a Cisco router?,CONNECTIVITY,CONNECTIVITY,True
914,How do you specify the bundled port priority for LACP and enter interface configuration mode?,CONNECTIVITY,CONNECTIVITY,True
915,How can you add an interface to a link bundle?,CONNECTIVITY,CONNECTIVITY,True
916,"To configure a Gigabit Ethernet interface for use in a channel group, which command sequence would you use?",CONNECTIVITY,CONNECTIVITY,True
917,"How can you enable privileged EXEC mode, remove a port channel group from a physical port, and set a minimum threshold of active links for a LACP bundle?",GENERAL,CONNECTIVITY,False
918,What is the minimum threshold value that can be set for active links in IEEE 802.3ad link bundling configuration?,GENERAL,CONNECTIVITY,False
919,How can I configure load calculation for my Cisco device?,GENERAL,MONITORING,False
920,What is the total number of error-free packets received by the system?,MONITORING,MONITORING,True
921,What is the configuration command used to enable LACP for Gigabit Ethernet ports 2/0 and 4/0 into port channel 1?,ROUTING,CONNECTIVITY,False
922,What configuration command is used to define the channel group number 5?,GENERAL,CONNECTIVITY,False
923,What is the mode of the channel-group configured for redundancy and load balancing in this Cisco router?,ROUTING,CONNECTIVITY,False
924,What are the LACP configuration settings for this network device?,CONNECTIVITY,CONNECTIVITY,True
925,What is the ARP timeout value configured on this device?,GENERAL,CONNECTIVITY,False
926,What is the configuration for LACP (Link Aggregation Control Protocol) port on Port GigabitEthernet 5/0/0 in Admin and Oper state?,CONNECTIVITY,CONNECTIVITY,True
927,How do we add a device member to a port-channel?,CONNECTIVITY,CONNECTIVITY,True
928,What is the reason for the physical port link down issue on interface GigabitEthernet7/0/0?,CONNECTIVITY,CONNECTIVITY,True
929,What is the encapsulation protocol used in this channel?,GENERAL,CONNECTIVITY,False
930,How do you configure IEEE 802.3ad link bundling on a Cisco switch using EtherChannel and LACP (Link Aggregation Control Protocol)?,CONNECTIVITY,CONNECTIVITY,True
931,What command is used to group multiple Ethernet links into a single logical channel according to the IEEE 802.3ad standard?,ROUTING,CONNECTIVITY,False
932,How can I configure support for 14 Member-links per GEC Bundle on my Cisco ASR 1000 Series Aggregation Services Router running Denali 16.3.1 or higher (Cisco IOS XE)?,GENERAL,CONNECTIVITY,False
933,What is the required configuration for supporting Y.1731 over Port Channel interfaces?,ROUTING,MONITORING,False
934,What configuration is required to perform one-way frame-delay measurement using TxTimeStampf and RxTimef elements?,MONITORING,MONITORING,True
935,What are the requirements for configuring the Y.1731 Performance Monitoring feature on a Cisco ASR 903 Router?,MONITORING,MONITORING,True
936,How can we notify a CE device of the operating state of an Ethernet Virtual Circuit (EVC) in a large Ethernet MAN/WAN?,MONITORING,MONITORING,True
937,How can I enable Ethernet Local Management Interface (LMI) on an interface?,GENERAL,CONNECTIVITY,False
938,How can we implement Layer 2 Access Control Lists (ACLs) on Ethernet Virtual Circuits (EVCs) to filter packets based on MAC addresses?,SECURITY,SECURITY,True
939,How can you configure an extended MAC ACL to control Layer 2 traffic forwarding on EVCs in Cisco IOS?,SECURITY,SECURITY,True
940,How do you configure a Layer 2 ACL using the mac access-list extended command on a Cisco device?,SECURITY,SECURITY,True
941,How can you configure a Layer 2 ACL with ACEs on a Service Instance to stop all other traffic?,SECURITY,SECURITY,True
942,How can you configure an ACL to forward Layer 2 traffic if certain conditions are matched?,SECURITY,SECURITY,True
943,What type of traffic forwarding does the given configuration allow if the specified conditions are matched?,ROUTING,CONNECTIVITY,False
944,How can I display detailed information about an Ethernet Customer Service Instance?,MONITORING,MONITORING,True
945,How can you configure Layer 2 Access Control Lists (ACL) to allow specific MAC addresses on a service instance?,SECURITY,SECURITY,True
946,How do you configure the CFM over EFP Interface with Cross Connect feature on the Cisco ASR 903 Router?,GENERAL,MONITORING,False
947,How to set up a virtual Ethernet interface on the ASR 1000 platform for terminating IP GRE tunnels?,CONNECTIVITY,CONNECTIVITY,True
948,How can we process and classify IP GRE encapsulated Ethernet packets with transparent Ethernet bridging protocol (0x6558) as Ethernet over soft GRE packets?,QOS,CONNECTIVITY,False
949,How can you configure MAC address limiting at the granularity of a per-service instance to ensure that only customers assigned to a given service instance are affected in case of a violation?,SECURITY,SECURITY,True
950,What are the limitations of enabling MAC address security on EFPs in a bridge-domain?,SECURITY,SECURITY,True
951,What is the recommended configuration for Ethernet bridging support as an important Layer 2 service offered on a router as part of an EVC?,CONNECTIVITY,CONNECTIVITY,True
952,What happens when trying to add a new secure address to a bridge domain if it would exceed the maximum number of addresses allowed?,SECURITY,SECURITY,True
953,How can I prevent unauthorized devices from accessing a service instance by implementing a MAC Address Deny List?,SECURITY,SECURITY,True
954,What is the maximum number of secured MAC addresses that can be added to a bridge domain service instance on Cisco IOS devices?,SECURITY,SECURITY,True
955,What is the maximum number of MAC addresses that can exist in the MAC table for a service instance with MAC security enabled?,SECURITY,SECURITY,True
956,What is the maximum number of MAC addresses allowed on a bridge domain in this configuration?,GENERAL,CONNECTIVITY,False
957,What is the maximum count of addresses that can be configured for service instance 1003 in the MAC security feature?,SECURITY,SECURITY,True
958,What is the maximum number of dynamic secure addresses that can be allocated in a bridge domain when MAC Move and MAC Locking are enabled?,SECURITY,SECURITY,True
959,How can we configure all service instances within the same bridge-domain as secured service instances?,SECURITY,SECURITY,True
960,How can we ensure that dynamically learned MAC addresses on secured service instances remain permanent even after interface transitions or device reloads?,SECURITY,SECURITY,True
961,What happens when we disable MAC Security on a Service Instance?,SECURITY,SECURITY,True
962,How can I enable MAC address security on a service instance?,SECURITY,SECURITY,True
963,How can you configure a port channel group number and enter interface configuration mode?,CONNECTIVITY,CONNECTIVITY,True
964,What Cisco IOS command can you use to map ingress Dot1Q frames to the appropriate service instance?,CONNECTIVITY,CONNECTIVITY,True
965,How do you configure an ingress dot1q frame on an interface to bind it to a bridge-domain instance and add a denied MAC address for the service instance?,SECURITY,CONNECTIVITY,False
966,How do you configure the device to deny a specific MAC address in a service instance for MAC security purposes?,SECURITY,SECURITY,True
967,How can we set an upper limit for the number of secured MAC addresses in a bridge domain?,SECURITY,SECURITY,True
968,How do you enable MAC security on the service instance?,SECURITY,SECURITY,True
969,"What is the configuration to create a service instance on an interface and configure matching criteria, encapsulation, binding to a bridge-domain instance, and violation mode?",GENERAL,CONNECTIVITY,False
970,How do I configure MAC Address Aging for secured MAC addresses under MAC security on a Cisco device?,SECURITY,SECURITY,True
971,How do you enable and configure a privileged EXEC mode to create a service instance with Ethernet type and set matching criteria for ingress dot1q frames?,GENERAL,CONNECTIVITY,False
972,How do you enable MAC security and configure sticky MAC address on a service instance?,SECURITY,SECURITY,True
973,"How can we configure MAC address limiting on Service Instances, Bridge Domains, and EVC Port Channels?",SECURITY,SECURITY,True
974,How can we enable MAC security on the service instance?,SECURITY,SECURITY,True
975,How can I enter privileged EXEC mode and display all the service instances with MAC security enabled?,GENERAL,SECURITY,False
976,What is the command to display service instances on a specific bridge domain with MAC security enabled?,SECURITY,MONITORING,False
977,How can we configure the router to display secured addresses on all service instances?,SECURITY,SECURITY,True
978,How can we display the MAC addresses of all service instances on a specific bridge domain?,MONITORING,MONITORING,True
979,How can you bring a service instance out of an error-disabled state due to MAC security issues?,SECURITY,SECURITY,True
980,How can we define matching criteria to map ingress dot1q frames on an interface to the appropriate service instance?,SECURITY,CONNECTIVITY,False
981,How to enable MAC security on a service instance?,SECURITY,SECURITY,True
982,How do you configure the MAC Address Permit List on a device to allow specific MAC addresses?,SECURITY,SECURITY,True
983,How can you configure a MAC address deny list and set the maximum number of allowed MAC addresses in a bridge domain?,SECURITY,SECURITY,True
984,What is the maximum number of MAC addresses that can be learned by Service Instance 100 Ethernet on interface GigabitEthernet 3/0/1?,GENERAL,CONNECTIVITY,False
985,What is the ID of the bridge domain configured in the network?,GENERAL,CONNECTIVITY,False
986,What types of interfaces are not supported for Ethernet Local Management Interface (LMI)?,GENERAL,CONNECTIVITY,False
987,What protocol would you use to verify the fault in an end-to-end per-service-instance Ethernet connectivity monitoring scenario?,MONITORING,MONITORING,True
988,How do EVC and UNI attributes get communicated to a CE device?,CONNECTIVITY,CONNECTIVITY,True
989,How can we achieve accelerated deployment of new services and applications while reducing network downtime during upgrades?,GENERAL,GENERAL,True
990,How can we configure Cisco's Connectivity Fault Management (CFM) to manage EVCs and untagged Ethernet flow points (EFPs)?,CONNECTIVITY,MONITORING,False
991,How do you define a universally unique customer service instance (CSI) and VLAN ID within the maintenance domain?,GENERAL,MONITORING,False
992,How do you configure an Ethernet service instance on a physical interface connected to a CE device?,CONNECTIVITY,CONNECTIVITY,True
993,"How can I enable Ethernet Local Management Interface (LMI) for untagged keywords on a Customer Edge (CE) device, ensuring that the main interface line protocol stays up?",CONNECTIVITY,CONNECTIVITY,True
994,How do you enable Ethernet Local Management Interface (LMI) on a device or an interface?,GENERAL,CONNECTIVITY,False
995,How do you configure Ethernet LMI parameters for the UNI on specific interfaces?,CONNECTIVITY,CONNECTIVITY,True
996,How can I display interface-only information about Ethernet customer service instances for all interfaces or a specified interface?,MONITORING,MONITORING,True
997,What is the associated EVC ID used to configure the Ethernet Local Management Interface at the Provider Edge?,GENERAL,CONNECTIVITY,False
998,"How do you configure the Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device?",CONNECTIVITY,MONITORING,False
999,What is the L2 protocol used in the service instance configured on Ethernet Uni?,GENERAL,CONNECTIVITY,False
1000,How do you enable Ethernet LMI (Local Management Interface) on a Cisco device?,GENERAL,CONNECTIVITY,False
1001,What is the recommended configuration for enabling LLDP (Link Layer Discovery Protocol) on a Cisco router in a multivendor network?,CONNECTIVITY,MONITORING,False
1002,How can we configure LLDP to support multivendor networks for network topology discovery?,MONITORING,MONITORING,True
1003,What is the purpose of enabling LLDP on Cisco devices?,MONITORING,MONITORING,True
1004,What is the command to enable LLDP (Link Layer Discovery Protocol) on a Cisco switch?,GENERAL,MONITORING,False
1005,What is the minimum requirement for network access configuration in LLDP-MED?,CONNECTIVITY,CONNECTIVITY,True
1006,What types of information can be exchanged between endpoint devices and network devices to support efficient operation and management?,MONITORING,MONITORING,True
1007,What is the purpose of the Cisco device's configuration when it comes to supporting E-911 emergency services?,GENERAL,CONNECTIVITY,False
1008,What is the recommended way to configure network policy TLV and power management TLV for VLAN configurations in Cisco IOS?,GENERAL,CONNECTIVITY,False
1009,How can we configure the switch to determine the actual power requirement of an endpoint device for adjusting the system power budget?,GENERAL,CONNECTIVITY,False
1010,How to enable LLDP on a supported interface and set the LLDP packet hold time?,GENERAL,MONITORING,False
1011,How do you configure the frequency of Link Layer Discovery Protocol (LLDP) packets to optimize network performance?,MONITORING,MONITORING,True
1012,How can I monitor the LLDP neighbors in my multivendor network?,MONITORING,MONITORING,True
1013,How can I enable LLDP TLV on a supported interface in Cisco IOS?,GENERAL,MONITORING,False
1014,How do you enable the specific LLDP-MED TLV on a supported interface in Cisco IOS?,GENERAL,MONITORING,False
1015,How can you enable and configure LLDP-MED on a network interface in Cisco IOS?,GENERAL,MONITORING,False
1016,How do you configure a Gigabit Ethernet interface for voice traffic and disable IP address on Cisco device?,QOS,CONNECTIVITY,False
1017,How can we configure a voice VLAN on a Cisco switch?,GENERAL,CONNECTIVITY,False
1018,How do you enable LLDP transmission on the interfaces of Device2?,CONNECTIVITY,MONITORING,False
1019,"How do you configure LLDP on Device 1 with hold time, timer, and TLV options?",CONNECTIVITY,MONITORING,False
1020,What is the command used to clear Link Layer Discovery Protocol (LLDP) data on a Cisco device?,GENERAL,MONITORING,False
1021,How do I configure Multichassis LACP (mLACP) in Cisco IOS to implement Aggregation Control Protocol (LACP)?,CONNECTIVITY,CONNECTIVITY,True
1022,How can we prevent forwarding loops when implementing Multichassis Link Aggregation Control Protocol (MLACP) for dynamic negotiation and establishment of LAGs?,SECURITY,CONNECTIVITY,False
1023,What is the purpose of configuring mLACP system and port priorities in an independent mode mLACP operation?,ROUTING,CONNECTIVITY,False
1024,What is the recommended configuration for enabling mLACP feature with LACP state machine for a dual-homed topology in compliance with IEEE 802.3ad standard?,CONNECTIVITY,CONNECTIVITY,True
1025,How can you configure the highest LACP priority and specify system MAC address and system priority values for a given redundancy group in Cisco IOS Release 12.2(33)SRE?,CONNECTIVITY,CONNECTIVITY,True
1026,How are ports uniquely identified within a system in this configuration?,GENERAL,GENERAL,True
1027,What precautions should be taken when configuring LACP port priority values for member links within a LAG?,SECURITY,CONNECTIVITY,False
1028,How can we extend LACP to operate over a multichassis setup and synchronize protocol attributes and states between the two chassis?,CONNECTIVITY,CONNECTIVITY,True
1029,How do I configure the System MAC address to ensure higher system priority with a lower numeric value and uniformity across both PoAs?,GENERAL,CONNECTIVITY,False
1030,How can we ensure that LSPs and PE isolation are monitored for associated service instances when using native redundancy and resiliency mechanisms?,MONITORING,MONITORING,True
1031,What command can be used to define core-facing interfaces for each redundancy group using explicit configuration in Cisco IOS?,ROUTING,ROUTING,True
1032,What is the value of `max-bundle` that should be configured on the DHD to ensure maximum reliability in case of link failures?,CONNECTIVITY,CONNECTIVITY,True
1033,"What happens to the selection of active/standby links when a PoA with a virtual LACP instance is used in conjunction with a DHD, given that the system priority value of the virtual LACP instance is set lower than the DHD's system priority?",CONNECTIVITY,CONNECTIVITY,True
1034,How can we configure the maximum number of links per bundle for both DHD and PoA?,GENERAL,CONNECTIVITY,False
1035,How can we achieve LACP fast-switchover feature support for both Distributed HA (DHA) and Point-to-Point (PoA) to provide a failover time of less than one second?,CONNECTIVITY,CONNECTIVITY,True
1036,How can we achieve failure detection and automatic failover in an active Power over Ethernet (PoE) and active PoE uplinks configuration?,CONNECTIVITY,CONNECTIVITY,True
1037,How can you configure dynamic port priority for mLACP in both revertive and non-revertive modes?,GENERAL,CONNECTIVITY,False
1038,What are the MAC flushing mechanisms that can be used to achieve multichassis redundancy in multipoint bridged services to prevent traffic blackholing?,SECURITY,CONNECTIVITY,False
1039,How do we configure the Interchassis Group and basic mLACP commands to enable PE redundancy in traditional VPLS?,ROUTING,CONNECTIVITY,False
1040,What is the step-by-step process to configure interchassis redundancy with BFD monitoring and define MLACP member settings?,ROUTING,CONNECTIVITY,False
1041,How do I return to privileged EXEC mode from the current CLI mode?,GENERAL,GENERAL,True
1042,How do you configure a port channel and its interface?,CONNECTIVITY,CONNECTIVITY,True
1043,What is the value of the `max-bundles` argument when configuring max-bundle links connected to the PoA?,GENERAL,CONNECTIVITY,False
1044,** How can I configure a matching group ID for an mLACP port channel to enable redundancy?,CONNECTIVITY,CONNECTIVITY,True
1045,How do you configure redundancy for VPWS (Virtual Private Wire Service) on Cisco IOS?,ROUTING,ROUTING,True
1046,How to configure a Layer 2 pseudowire class with MPLS encapsulation and status peer topology dual-homed?,ROUTING,ROUTING,True
1047,"How do you configure port-channel with no IP address assigned, enable LACP fast-switchover, and set the maximum bundle links?",ROUTING,CONNECTIVITY,False
1048,How do you configure a subinterface in a VLAN with encapsulation dot1q and vlan-id?,ROUTING,ROUTING,True
1049,How do you configure an attachment circuit to bind to a pseudowire?,ROUTING,CONNECTIVITY,False
1050,"What is the purpose of configuring ""status peer topology dual-homed"" under the pseudowire class in Cisco IOS?",ROUTING,CONNECTIVITY,False
1051,How can I configure the inter-chassis group ID for multichassis LACP (MC-LAG) port channel?,CONNECTIVITY,CONNECTIVITY,True
1052,How do you enable redundancy for VPLS in Coupled mode?,ROUTING,CONNECTIVITY,False
1053,What configuration command is used to set the group ID for Multichassis LACP (mLACP) port-channel for redundancy in VPLS?,ROUTING,CONNECTIVITY,False
1054,How to configure redundancy for VPLS on Cisco ME36xx series switches?,ROUTING,CONNECTIVITY,False
1055,What are the steps to enter global configuration mode and configure a Layer 2 Virtual Routing and Forwarding (VRF) instance with specific details?,ROUTING,ROUTING,True
1056,How can we enable LACP 1-to-1 link redundancy and configure the maximum number of bundles for a Port Aggregator (PoA)?,CONNECTIVITY,CONNECTIVITY,True
1057,How can you enable IEEE 802.1Q encapsulation on subinterface 1 of VLAN 100-200 in a service instance?,SECURITY,CONNECTIVITY,False
1058,What type of encapsulation method should be used to tunnel Layer 2 traffic over the pseudowire when MPLS is specified?,ROUTING,CONNECTIVITY,False
1059,How can you configure an mLACP port channel with inter-chassis redundancy group ID matching the configured redundancy group?,CONNECTIVITY,CONNECTIVITY,True
1060,What are the necessary steps to configure Hierarchical VPLS (H-VPLS) on Cisco ME36xx series switches?,ROUTING,ROUTING,True
1061,How do you enable privileged EXEC mode and configure MPLS for encapsulation in a pseudowire class?,ROUTING,ROUTING,True
1062,How can I debug interchassis redundancy and LACP activity in Cisco IOS?,MONITORING,MONITORING,True
1063,How can I enable debugging for EtherChannel component in my Cisco router?,MONITORING,MONITORING,True
1064,How do I enable privileged EXEC mode on a Cisco router?,GENERAL,GENERAL,True
1065,How can I enable the display of AToM events when AToM is configured for nonstop forwarding/stateful switchover (NSF/SSO) and Graceful Restart in Cisco IOS?,MONITORING,MONITORING,True
1066,How to enable MPLS LDP Graceful Restart feature in our network?,ROUTING,ROUTING,True
1067,What is the configuration required to enable Redundancy in SSO (Single System Operation) mode?,GENERAL,SECURITY,False
1068,What is the IP address of Member 1 in Inter-Chassis Group 1?,CONNECTIVITY,CONNECTIVITY,True
1069,"What is the EtherChannel configuration for Eth VLAN 2 on Po1 and Po2, and what are their respective IP addresses?",CONNECTIVITY,CONNECTIVITY,True
1070,What is the logical slot/port configuration for Port-channel in this setup?,CONNECTIVITY,CONNECTIVITY,True
1071,What are the LACP parameters for the multichassis group 100?,CONNECTIVITY,CONNECTIVITY,True
1072,What is the LAG state of Port-channel1 in both local and peer configurations?,CONNECTIVITY,CONNECTIVITY,True
1073,What is the value of the `rg_id` parameter in this configuration?,GENERAL,GENERAL,True
1074,What is the MPLS L2Transport VC configuration for virtual circuit ID 2?,ROUTING,ROUTING,True
1075,How can we configure the dual-homed network to ensure redundant connectivity between switches?,CONNECTIVITY,CONNECTIVITY,True
1076,What is the requirement for the service instance to operate correctly in Pseudo mLACP port channel?,CONNECTIVITY,CONNECTIVITY,True
1077,What is the configuration used for achieving active/active mode redundancy in two PoAs in a redundancy group?,ROUTING,CONNECTIVITY,False
1078,How do you configure ICCP multichassis VLAN redundancy and port channel for pseudo mLACP?,ROUTING,CONNECTIVITY,False
1079,How do you configure inter-chassis group for Multichassis VLAN Redundancy on a Cisco router?,ROUTING,CONNECTIVITY,False
1080,How do we configure the port channel on the active and standby PoA for Pseudo mLACP?,CONNECTIVITY,CONNECTIVITY,True
1081,What type of protocol is used to notify the access network about MAC flushing when implementing MC-LAG TCN interworking in an MSTP topology?,ROUTING,CONNECTIVITY,False
1082,What are the requirements for DHD access node(s) to support MSTP TCN and ensure High Availability (HA) synchronization?,GENERAL,CONNECTIVITY,False
1083,How can you enable Multiple Spanning Tree (MST) for VLANs on a Cisco device?,GENERAL,CONNECTIVITY,False
1084,What is the correct configuration command to enable MST (Multiple Spanning Tree) for VLANs?,ROUTING,CONNECTIVITY,False
1085,What is the MSTP TCN Sequence configuration for MC-LAG interworking between two port channels (PoA-POA1 and PoA-POA2) to enable active-active mode?,ROUTING,CONNECTIVITY,False
1086,How can we monitor Bidirectional Forwarding Detection (BFD) on the peer?,MONITORING,MONITORING,True
1087,What is the MLACP configuration for interchassis grouping and load balancing across multiple VLANs?,CONNECTIVITY,CONNECTIVITY,True
1088,What is the configuration for Service Instance 20?,GENERAL,CONNECTIVITY,False
1089,What is the recommended configuration for MAC flushing in DHD switches when interworking with MSTP TCN and MVRP protocols?,SECURITY,CONNECTIVITY,False
1090,What are the specific conditions that trigger a dying gasp (AIS) generation on a Cisco router?,MONITORING,MONITORING,True
1091,What configuration is required for the ETH-AIS function to suppress alarms when a defect condition is detected at either the server layer or the server sublayer (virtual MEP)?,MONITORING,MONITORING,True
1092,Can ETH-AIS be used in STP environments?,CONNECTIVITY,MONITORING,False
1093,What is the minimum transmission interval for AIS frames that would allow a MEP to clear a defect condition?,MONITORING,MONITORING,True
1094,How do I enable Ethernet CFM AIS link status globally?,MONITORING,MONITORING,True
1095,How do we enable the AIS function for a specific maintenance association?,MONITORING,MONITORING,True
1096,How do you configure a Maintenance Intermediate Point (MIP) at a specified maintenance level on an Ethernet interface?,MONITORING,MONITORING,True
1097,What is the recommended value for the `holdtime` parameter in the `traceroute-cache` command to ensure accurate tracing results?,MONITORING,MONITORING,True
1098,How do you configure IP SLAs Metro-Ethernet 3.0 (ITU-T Y.17.31) for dual-ended Ethernet delay or delay variation operation in the correct order?,MONITORING,MONITORING,True
1099,What is the correct order to remove MEP configurations in an already-configured dual-ended operation?,MONITORING,MONITORING,True
1100,How do you configure the receiver on the responder to enter IP SLA Y.17.31 delay configuration mode?,MONITORING,MONITORING,True
1101,What is the delay variation value set for the IP SLAs Ethernet operation?,QOS,MONITORING,False
1102,"How can I monitor Ethernet frame loss using the ""monitor loss counter"" command on devices at both ends of the operation, considering that Cisco IOS Y.17.31 implementation allows monitoring of frame loss for frames on an EVC regardless of the CoS value?",MONITORING,MONITORING,True
1103,What are the frame interval and history interval settings configured for IP SLAs Ethernet operation in Step 8 and Step 9?,MONITORING,MONITORING,True
1104,How can I add multiple operations to a multioperation group with the same frequency?,GENERAL,MONITORING,False
1105,How can I enable and configure IP SLA operations to schedule an operation to run forever?,MONITORING,MONITORING,True
1106,"How can you display the IP SLAs group schedule details for groups 1, 3, 4, 6 to 9?",MONITORING,MONITORING,True
1107,What is the recommended configuration for implementing VXLAN-MCLAG Active-Active High Availability Support feature on Cisco ASR1k Series Aggregation Services Routers?,ROUTING,ROUTING,True
1108,How do I configure an Interchassis Redundancy Group on PoA?,ROUTING,CONNECTIVITY,False
1109,How do you configure the member IP address for an MLACP (Multichassis Link Aggregation Protocol) peer?,ROUTING,CONNECTIVITY,False
1110,What is the configuration command to set up an mLACP inter-chassis group with a specific ID?,ROUTING,CONNECTIVITY,False
1111,** How can I enable mLACP (Multi-Chassis Link Aggregation Protocol) active-active POA (Port-Channel Association) redundancy?,ROUTING,CONNECTIVITY,False
1112,"How can you configure the network virtualization endpoint interface to use VNI 77,77 and associate it with an ingress replication peer at IP address 99.1.1.1, while also specifying a source interface as Loopback10?",ROUTING,CONNECTIVITY,False
1113,ow can you configure a dual-homed device to enable trunking on a Port-channel interface? ,CONNECTIVITY,CONNECTIVITY,True
1114,How can you configure GigabitEthernet3/1 to support dual-homed devices using dot1q trunking and allow VLANs 20-50?,ROUTING,CONNECTIVITY,False
1115,How can you configure an Ethernet channel of interfaces on a Cisco switch to enable privileged EXEC mode?,GENERAL,CONNECTIVITY,False
1116,How can you configure the Gigabit Ethernet interface to support VXLAN-MCLAG Active-Active High Availability?,ROUTING,CONNECTIVITY,False
1117,What steps can you take to configure VXLAN HA on multicast mode for VXLAN-MCLAG active-active high availability support?,ROUTING,ROUTING,True
1118,How can you configure VXLAN-MCLAG (Multi-Chassis Link Aggregation) active-active high availability support on NVE1 interface?,ROUTING,CONNECTIVITY,False
1119,How can we enable Multicast VPN (mVPN) using PIM and BGP EVPN on our network device?,ROUTING,ROUTING,True
1120,How can you configure the Loopback interface to have an IP address of 88.1.1.1 and subnet mask 255.255.255.255?,GENERAL,CONNECTIVITY,False
1121,What is the load-balance method used for Port-channel1 in the given configuration?,CONNECTIVITY,CONNECTIVITY,True
1122,What is the configuration for setting up an NVGRE Tunnel interface with replication and source-interface settings?,CONNECTIVITY,ROUTING,False
1123,How can we configure our Cisco ASR 1k Series Router to act as a Layer 2 VxLAN gateway for bridging traffic across VxLAN segments?,ROUTING,CONNECTIVITY,False
1124,How do you configure the VxLAN UDP destination port number on a Cisco device?,ROUTING,CONNECTIVITY,False
1125,How do you assign the previously-created loopback interface to an NVE interface and configure VNI members and multicast groups?,ROUTING,CONNECTIVITY,False
1126,What are the unicast IP addresses used for enabling headend replication functionality using ingress-replication in Cisco IOS?,ROUTING,ROUTING,True
1127,How do you configure a VLAN to map it to a bridge domain in Cisco IOS?,GENERAL,CONNECTIVITY,False
1128,How can we configure the number of peers for every VNI up to 32 nodes in Cisco IOX XE Everest 16.5.1b?,ROUTING,CONNECTIVITY,False
1129,Which types of IS-IS are supported by VxLAN GPE tunnels and VxLAN dummy-L2 tunnels?,CONNECTIVITY,ROUTING,False
1130,What is the encapsulation format required to carry Ethernet frames over an outer UDP/IP transport and VxLAN header?,GENERAL,CONNECTIVITY,False
1131,What are the features of VxLAN GPE tunnel in this configuration?,CONNECTIVITY,CONNECTIVITY,True
1132,How can we configure the source port range for VxLAN GPE Tunnel and VxLAN Dummy-L2 Tunnel?,ROUTING,CONNECTIVITY,False
1133,What is the configuration command to enable VxLAN GPE Tunnel on VTEP1 for IPv4 support?,ROUTING,CONNECTIVITY,False
1134,What are the required configurations for Vxlan GPE Tunnel on VTEP2 (Tunnel1) and Vxlan Dummy-L2 Tunnel on VTEP1 (Tunnel0)?,ROUTING,CONNECTIVITY,False
1135,How can you change the UDP destination port for the Vxlan Dummy-L2 tunnel?,GENERAL,CONNECTIVITY,False
1136,How do you add VxLAN source port hash in a tunnel?,ROUTING,ROUTING,True
1137,How can you configure L3VPN to exchange L3 information with EVPN neighbors using different sets of import and export route-targets?,ROUTING,ROUTING,True
1138,What is the control-plane learning mechanism used to learn end-host Layer 2 and Layer 3 reachability information in a Data Center VXLAN with support for MP-BGP?,ROUTING,ROUTING,True
1139,What new keyword can be added to the existing route-target configuration to specify the route targets used in EVPN-VXLAN related processing?,ROUTING,ROUTING,True
1140,How do I configure my Cisco router to exchange Router MAC addresses with EVPN peers and allow local VNI transmission?,ROUTING,ROUTING,True
1141,How can we control the import of VRF routes into the EVPN table?,ROUTING,ROUTING,True
1142,"What are the steps to configure BGP, EVPN address-family, VRF, RD/RT, and OSPF in a network with specific addresses and routing configurations?",ROUTING,ROUTING,True
1143,Question: How can you configure BGP for VPNv4 and IPv4 between routers with specific settings?,ROUTING,ROUTING,True
1144,"How to define the VRF ""vrf1"" with route distinguisher 65530:1 and route-target both 65530:1?",ROUTING,ROUTING,True
1145,How can you verify if an EVPN VxLAN L3 configuration is correct and functional?,ROUTING,CONNECTIVITY,False
1146,What type of EVPN instance is configured to support VxLAN L3 services?,ROUTING,ROUTING,True
