id,question,answer,ground_truth_category
232,"How can we configure the IP SLAs group scheduling to ensure that there are at least 2 operations scheduled within a 10-second window, given a schedule period of 20 seconds?",,MONITORING
833,How can you exit VFI configuration mode and return to the global configuration mode?,,GENERAL
1163,What are some examples of multicast address ranges that can be used for predictable behavior and address reuse within smaller domains?,,ROUTING
4210,What configuration can be used to enable IPsec QoS policies for IPv6 traffic?,,QOS
290,How can we enable support for users with static IP addresses in public wireless LAN environments?,,CONNECTIVITY
2480,How can we ensure that sites without registered IP addresses are able to access the network while also integrating with MPLS VPNs?,,CONNECTIVITY
2528,What command can be used to test the network activity on both devices in an Active/Active failover setup?,,CONNECTIVITY
3698,How do you calculate the average queue depth at the current enqueue time when using WRED (Weighted Random Early Detection) on an ASR 1000 Router?,,QOS
110,How can we configure the IP SLAs to support proactive threshold violation monitoring for packet loss and SNMP trap notifications?,,MONITORING
2273,How do you configure the Source Interface Selection for Outgoing Traffic with Certificate Authority using FastEthernet 1 as the outside interface connected to the Internet Service Provider (ISP) on a Cisco router?,,SECURITY
924,What are the LACP configuration settings for this network device?,,CONNECTIVITY
3187,How do you enable IPsec tunnel protection for the hub?,,SECURITY
3654,How do you configure QoS Packet Policing with Dual-Rate and Three-Color Policer in Cisco router?,,QOS
3549,What are the current settings for our traffic shaping queue?,,QOS
580,How can you configure the device to forward multicast traffic when there are no directly connected IGMP hosts?,,ROUTING
3857,What are the configuration settings for channel-based measurement on the Cisco device?,,MONITORING
1707,How can we minimize the impact of AAA authentication and authorization by caching responses for given users on the router?,,SECURITY
2445,How can you enable WAAS for Wide Area Application Services (WAAS) traffic flow optimization in a Cisco IOS XE environment?,,GENERAL
3431,What is the default interval for sending L2TP hello packets to keep the tunnel alive?,,CONNECTIVITY
4237,How can you exit the configuration mode in Cisco IOS?,,GENERAL
2184,What are the Cisco IOS configuration template variables for user1?,,GENERAL
1901,How can we configure the IP address and speed settings for GigabitEthernet interfaces?,,CONNECTIVITY
947,How to set up a virtual Ethernet interface on the ASR 1000 platform for terminating IP GRE tunnels?,,CONNECTIVITY
1213,What can be done to ensure consistent RP selection between Cisco and non-Cisco routers in a PIM Version 2 BSR environment?,,ROUTING
720,"How can we configure a non-owner interface to automatically receive an IP address from the connected neighbor device, and the owner interface to be assigned a preconfigured auto-IP address with an odd number in the last octet?",,CONNECTIVITY
38,How do you configure IP SLA operations for multicast jitter measurements?,,MONITORING
900,How do you configure a port-channel interface before adding interfaces to the channel group?,,CONNECTIVITY
1193,How can we prevent unwanted sources from disrupting the Internet broadcast and ensure controlled traffic forwarding?,,SECURITY
1886,"How do you configure IP address, subnet mask, MTU size, NHRP authentication, map entry, multicast support, network ID, hold time, NHS entry, TCP MSS adjustment, load interval, and delay for an interface on a Cisco router?",,ROUTING
4479,What is the police rate configuration for VoIP traffic in the given policy-map?,,QOS
3704,What is enabled for queue limits and WRED (Weighted Random Early Detection) on an IOS XE Gibraltar 16.11.x device?,,QOS
2681,How can we limit the number of VRF firewall sessions in our network?,,SECURITY
4353,How can we configure LLQ to prioritize specific traffic types while avoiding starvation for non-priority traffic?,,QOS
2934,What types of threshold values can be used for alarms that require reporting?,,MONITORING
3521,How does the Max value of the Parent's Schedule Entry affect Bandwidth Sharing in a Cisco IOS configuration?,,QOS
1921,How can I configure a DMVPN tunnel from BR84 to DMVPN1 (MPLS) using NHRP and multipoint GRE encapsulation?,,ROUTING
2662,How can you configure the maximum number of half-opened connections per Virtual Routing Forwarding (VRF) to ensure network stability?,,SECURITY
4510,What is an example of how to configure hierarchical color-aware policing in Cisco IOS XE Release 3.2S or later?,,QOS
1996,How do I configure the Cisco Umbrella Connector on the branch for OpenDNS validation?,,SECURITY
2799,How do you attach a firewall policy map to the destination zone pair in a security zone-pair configuration?,,SECURITY
3361,What are the steps to configure VRRP (Virtual Router Redundancy Protocol) on routers in a group?,,ROUTING
3458,Question: What is the bandwidth shaping configured for traffic matching the PEER access-group in the grandparent policy map?,,QOS
248,How do you configure an IP SLAs TWAMP responder to support TWAMP sessions with a control client and session sender on another device?,,MONITORING
1523,How can I export the packet capture in PCAP format suitable for analysis using any external tool?,,MONITORING
1056,How can we enable LACP 1-to-1 link redundancy and configure the maximum number of bundles for a Port Aggregator (PoA)?,,CONNECTIVITY
4460,How do you enable overhead accounting for bandwidth on gaming and class-default classes in a child policy map named subscriber_classes?,,QOS
853,What is the correct approach to configure maintenance points (MEP) for network devices that are part of a service instance?,,MONITORING
3052,How can you configure a unique IPv6 link-local address across all DMVPN nodes in a DMVPN network?,,ROUTING
4011,How can we enable DNS-based learning for NBAR to classify application traffic from the first packet of a flow when the current configuration does not support IP-NBAR classification with DNS learning?,,QOS
327,How can I enter the global configuration mode?,,GENERAL
951,What is the recommended configuration for Ethernet bridging support as an important Layer 2 service offered on a router as part of an EVC?,,CONNECTIVITY
1988,How do you configure an Ethernet interface as the direct access interface for Direct Cloud Access in the SaaS-DCA environment?,,CONNECTIVITY
2517,What type of redundancy is configured for the LAN-LAN topology in this scenario?,,CONNECTIVITY
3958,How can you exit the interface configuration mode and return to global configuration mode?,,GENERAL
97,How do you configure an IP SLA operation as an LSP ping operation in Cisco IOS?,,MONITORING
4108,How can you configure an L2TP tunnel on a Cisco router to connect to a server with IP medium?,,CONNECTIVITY
4215,How do you specify the QoS group for LLQ in Cisco IOS?,,QOS
2885,How to setup a system-data profile in Cisco IOS?,,GENERAL
3766,How do we configure the Transit Hub in PfRv3 to support Transit Site Support?,,ROUTING
460,How can we establish connectivity between IPv4 and IPv6 hosts using stateless NAT 46?,,CONNECTIVITY
1324,"To ensure successful reception of multicast traffic from a source, what configuration command can be used to enable RPF verification for that source?",,ROUTING
3400,How can you enable RTP header compression on an interface?,,QOS
2626,"What is the purpose of the ""match protocol"" command in the class-map configuration?",,QOS
963,How can you configure a port channel group number and enter interface configuration mode?,,CONNECTIVITY
3245,How does the router handle ICMP Redirect messages when forwarding packets to HSRP devices?,,ROUTING
1961,What command is used to configure the device as a master hub and enter master controller configuration mode?,,GENERAL
3710,What action is taken when traffic exceeds the PIR?,,QOS
99,** How can you display the operational status of the LSP discovery groups belonging to an LSP Health Monitor operation?,,MONITORING
1397,How do you configure the periodic join and prune announcement intervals for a specified interface in IPv6 PIM?,,ROUTING
2242,"How do I configure my router to recognize RA certificate requests from enrollment request databases with an organizational unit ""ou=ioscs RA"" in the subject name?",,SECURITY
2513,How do I enter the redundancy application configuration mode to configure application redundancy settings for a redundancy group?,,GENERAL
376,How can you configure asymmetric routing using VRF on an interface to enable NAT outside and static NAT pool for inside traffic?,,ROUTING
2659,"What are the average time frame, average threshold, and burst threshold values configured for threat detection of TCP SYN attacks on this Cisco device?",,SECURITY
1210,How do you configure Anycast RP with a single address to achieve faster IP routing convergence towards the closest RP?,,ROUTING
4363,How do I configure Low Latency Queueing (LLQ) with Priority Percentage Support on a Cisco device?,,QOS
1121,What is the load-balance method used for Port-channel1 in the given configuration?,,CONNECTIVITY
1689,How can we secure the AAA Double Authentication mechanism in our network connections?,,SECURITY
3189,How can you configure the WAN-facing interfaces for the spokes in your network?,,CONNECTIVITY
716,How can I check the status of unnumbered interface support on interfaces configured for IP?,,MONITORING
1509,What is the requirement for indexing objects in a bulk statistics object list?,,MONITORING
1642,How can we prevent configuring PPP authentication via CHAP if-needed on an interface when a remote device authenticates via standard login procedure and initiates PPP from the EXEC prompt?,,SECURITY
149,How can we measure the end-to-end response time between Device A and Device B using IP and UDP Echo Operation?,,MONITORING
2912,What is Cisco Mediatrace and what products does it support?,,MONITORING
3608,How can you configure a port-channel with load balancing and VLAN manual or main-interface load-balancing command in Cisco IOS XE Release 2.1 or later software?,,CONNECTIVITY
717,How can the auto-IP feature simplify the process of reconfiguring IP addresses when inserting or removing nodes in a ring topology?,,CONNECTIVITY
3230,What is the purpose of configuring multiple Hot Standby groups on an interface in HSRP?,,ROUTING
3396,What are the configurable settings for RTP Header-Compression in Cisco IOS?,,QOS
3634,What is the policing configuration for P2P traffic?,,QOS
698,How can you enable IP connectivity on a point-to-point WAN interface without assigning an IP address?,,CONNECTIVITY
2555,"What is the purpose of setting ""asymmetric-routing always-divert enable"" in an application redundancy group?",,ROUTING
3,How do I configure the IP Service Level Agreement (SLA) feature on an ASR 920 platform to measure network performance?,,MONITORING
4098,What is an example of a business-oriented application that uses peer-to-peer technology and has a high priority classification?,,QOS
858,How do I configure the Ethernet CFM traceroute cache hold-time in minutes?,,MONITORING
2828,How do we enable Sun RPC ALG support on a Cisco firewall to allow remote procedure call (RPC) traffic to traverse the network?,,SECURITY
1907,What is the NHRP map for Tunnel100 and what is the next hop IP address?,,ROUTING
1896,What are the key parameters used to configure the tunnel interface for a DMVPN deployment?,,ROUTING
4001,What is the minimum Cisco IOS XE release required to support NBAR classification of traffic using multiple methods?,,QOS
1362,How can you clear the IP multicast routing table and caches in Cisco IOS?,,ROUTING
1486,How do I enable SNMP Manager feature on Cisco ASR 1000 series routers running Cisco IOS XE Release 2.1?,,MONITORING
2083,"What is the purpose of the ""TPLUS(00 00 00 42)/0/READ"" command in Cisco IOS?",,GENERAL
170,"How can I schedule an IP SLAs operation with a specific group number, operation numbers, and life duration?",,MONITORING
1823,What is the authentication method configured for the specified interface?,,SECURITY
3715,How can we implement centralized provisioning for our network devices?,,GENERAL
2327,What is the correct way to configure the DH group identifier for IPSec SA negotiation in Cisco IOS?,,SECURITY
801,What command can be used to enter privileged EXEC mode?,,GENERAL
3178,What is the command to enable OSPF under VRF custA with router ID 10.0.0.103?,,ROUTING
3667,"What is the configuration command to set the offered rate to 13,000 bps and drop rate to 0 bps for the default class, and attach the police-percent policy to a POS OC3 interface?",,QOS
3216,How can I enable privileged EXEC mode in Cisco IOS?,,GENERAL
2254,How do you configure PKI Storage for Certificates on a Cisco device?,,SECURITY
1025,How can you configure the highest LACP priority and specify system MAC address and system priority values for a given redundancy group in Cisco IOS Release 12.2(33)SRE?,,CONNECTIVITY
86,What is the purpose of monitoring LSP Health using primary and secondary frequencies when testing the status of paths belonging to a group?,,MONITORING
684,What is the correct command to enable privileged EXEC mode?,,GENERAL
1832,How do you specify the server group using Cisco IOS commands?,,GENERAL
4501,How do you configure PPPoE on an interface and apply a QoS policy to PPPoE sessions?,,QOS
3306,"How do you enable HSRP on an interface with a specified IP address and version, configure the standby group number, and display information about the standby configuration?",,ROUTING
174,What command can be used to enable privileged EXEC mode?,,GENERAL
