"f","question","category","source","decision_manual","ollama","openai","sampled_by"
"3697","How do we configure WRED (Weighted Random Early Detection) with exponential weighting constant to dampen changes in average queue depth for monitoring purposes?","MONITORING","desacuerdo","MONITORING","MONITORING","QOS","ollama"
"4115","How do you configure Cisco router to record the time of event occurrence on NAS using attribute 55?","MONITORING","desacuerdo","MONITORING","MONITORING","SECURITY","ollama"
"1262","How can I configure my Cisco device to control outgoing SA requests from MSDP peers based on specified criteria?","ROUTING","desacuerdo","ROUTING","SECURITY","ROUTING","openai"
"2814","What type of gateway would allow client applications to use dynamic TCP or UDP ports to communicate with the server application, recognize application-specific commands, synchronize multiple streams or sessions of data, and translate network-layer address information?","ROUTING","desacuerdo","SECURITY","ROUTING","SECURITY","ollama"
"1703","How can the Server (NAS) set up tunnels with the customer tunnel server to facilitate communication with remote users?","CONNECTIVITY","desacuerdo","CONNECTIVITY","CONNECTIVITY","SECURITY","ollama"
"3820","What is the purpose of the ""remote-ingress-bandwidth-check"" configuration command when implementing Performance Routing v3 (PfRv3) Intelligent Load Balance feature?","QOS","desacuerdo","ROUTING","QOS","ROUTING","ollama"
"298","What is the command used to enable network address translation (NAT) in Cisco IOS?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"3823","What is the ingress capacity for the Tunnel20 external interface?","MONITORING","desacuerdo","MONITORING","QOS","MONITORING","openai"
"4422","How do you attach a per-flow admission policy to an interface in Cisco IOS?","QOS","desacuerdo","QOS","SECURITY","QOS","openai"
"3791","How can we enable the Performance Routing v3 (PfRv3) Zero SLA Support feature to reduce probing frequency on various ISP links?","QOS","desacuerdo","ROUTING","QOS","ROUTING","ollama"
"2855","How do we enable NAT64 for FTP66 ALG support in Cisco IOS?","ROUTING","desacuerdo","ROUTING","SECURITY","ROUTING","openai"
"2725","How do you configure the number of simultaneous packets per flow in a parameter-map type inspect command?","QOS","desacuerdo","SECURITY","QOS","SECURITY","ollama"
"830","How do I specify an interface and enter interface configuration mode on my Cisco router?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"689","How do you configure the Auto-IP functionality on node interfaces for inclusion in an Auto-IP ring?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"1431","How do I reconfigure SNMP settings for an existing user to remove the user and set up a new password?","MONITORING","desacuerdo","MONITORING","SECURITY","MONITORING","openai"
"985","What is the ID of the bridge domain configured in the network?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"933","What is the required configuration for supporting Y.1731 over Port Channel interfaces?","ROUTING","desacuerdo","MONITORING","ROUTING","MONITORING","ollama"
"2272","How do you set a primary or secondary IP address for an interface in Cisco IOS?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"1639","What command can be used in interface configuration mode to enable PPP encapsulation?","ROUTING","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","ollama"
"831","How do you configure UP MEP over Port Channel in VPLS?","MONITORING","desacuerdo","MONITORING","MONITORING","CONNECTIVITY","ollama"
"4182","What is an important step to take when configuring IPsec Anti-Replay for QoS to prevent dropping packets due to old SPI?","QOS","desacuerdo","SECURITY","QOS","SECURITY","ollama"
"4442","How do you enable privileged EXEC mode and configure a class map with a match criterion on a Cisco router?","QOS","desacuerdo","QOS","GENERAL","QOS","openai"
"3772","How do you configure Data Center 1 (DC1) devices as hub-master controller?","CONNECTIVITY","desacuerdo","ROUTING","GENERAL","CONNECTIVITY","openai"
"864","What is the command to configure Ethernet CFM MIP Level 7 VLAN 101 on interface gigabitethernet3/2?","MONITORING","desacuerdo","MONITORING","MONITORING","CONNECTIVITY","ollama"
"4131","How can we configure the NAS to support login hosts?","SECURITY","desacuerdo","SECURITY","GENERAL","SECURITY","openai"
"787","What type of packets can be associated with a maintenance end point (MEP) when CFM is used over Bridge Domains?","MONITORING","desacuerdo","MONITORING","GENERAL","MONITORING","openai"
"3228","What is the primary function of HSRP (Hot Standby Router Protocol) in a network segment?","CONNECTIVITY","desacuerdo","CONNECTIVITY","CONNECTIVITY","ROUTING","ollama"
"1101","What is the delay variation value set for the IP SLAs Ethernet operation?","MONITORING","desacuerdo","MONITORING","QOS","MONITORING","openai"
"454","How do you enable NAT64 on an interface?","ROUTING","desacuerdo","CONNECTIVITY","ROUTING","CONNECTIVITY","ollama"
"3988","Can we use NBAR (Network Based Application Recognition) to classify non-IP traffic?","QOS","desacuerdo","QOS","MONITORING","QOS","openai"
"2702","What are the recommended settings for the TCP SYN wait timer and ageout time to establish a TCP session before dropping it in Cisco IOS?","SECURITY","desacuerdo","SECURITY","QOS","SECURITY","openai"
"2427","What is the purpose of the ""match protocol http"" command in the given configuration?","QOS","desacuerdo","QOS","SECURITY","QOS","openai"
"4448","How do you enable Ethernet Overhead Accounting on Gigabit Ethernet subinterface 1/0/0.100?","MONITORING","desacuerdo","QOS","MONITORING","QOS","ollama"
"46","What is the default Advantage Factor for IP SLAs VoIP UDP jitter operations?","QOS","desacuerdo","MONITORING","QOS","MONITORING","ollama"
"436","What is the configuration required to support Stateful NAT64—Intra-Chassis Redundancy feature in Cisco IOS XE Release 3.5S and later releases?","CONNECTIVITY","desacuerdo","CONNECTIVITY","SECURITY","CONNECTIVITY","openai"
"295","What are the steps to configure Network Address Translation (NAT) for specific IP addresses and ranges?","ROUTING","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","openai"
"1008","What is the recommended way to configure network policy TLV and power management TLV for VLAN configurations in Cisco IOS?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"943","What type of traffic forwarding does the given configuration allow if the specified conditions are matched?","CONNECTIVITY","desacuerdo","SECURITY","ROUTING","CONNECTIVITY","openai"
"480","Can you completely disable flow cache entries when configuring NAT or NAT64?","ROUTING","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","openai"
"2700","How do you enable privileged EXEC mode and configure a global parameter map with the `parameter-map` type `inspect` configuration?","SECURITY","desacuerdo","SECURITY","GENERAL","SECURITY","openai"
"475","How can you exit NAT64 MAP-T BMR configuration mode and return to privileged EXEC mode?","GENERAL","desacuerdo","CONNECTIVITY","SECURITY","GENERAL","openai"
"3426","How do you configure the VRF reference of a AAA TACACS+ server on a Cisco router?","SECURITY","desacuerdo","SECURITY","GENERAL","SECURITY","openai"
"405"," What is the Cisco IOS command to configure Stateless NAT with 64-bit translation, mapping an IPv4 address to an IPv6 host?","ROUTING","desacuerdo","CONNECTIVITY","SECURITY","ROUTING","openai"
"3982","What is the BFD configuration for Router A and Router B using the single-hop template?","CONNECTIVITY","desacuerdo","ROUTING","CONNECTIVITY","MONITORING","ollama"
"3871","How can I view summary information of all traffic classes and status information of the traffic class for the hub-master controller?","MONITORING","desacuerdo","ROUTING","MONITORING","QOS","ollama"
"3969","How can we enable IPv4 network failure detection between paths that are not directly connected in our router?","ROUTING","desacuerdo","ROUTING","ROUTING","MONITORING","ollama"
"1000","How do you enable Ethernet LMI (Local Management Interface) on a Cisco device?","GENERAL","desacuerdo","CONNECTIVITY","GENERAL","CONNECTIVITY","ollama"
"3263","How can I configure tracking for an interface using an object number?","MONITORING","desacuerdo","MONITORING","MONITORING","ROUTING","ollama"
"448","How do you configure a redundancy group with priority and failover threshold values, as well as control interface type and number?","ROUTING","desacuerdo","ROUTING","ROUTING","CONNECTIVITY","ollama"
"4079","How do you add a custom protocol to the router using the ip nbar command?","QOS","desacuerdo","QOS","ROUTING","QOS","openai"
"3294","What are the configuration commands to set the hostname for each router (RouterA and RouterB) in HSRP setup?","GENERAL","desacuerdo","ROUTING","ROUTING","GENERAL","openai"
"2400","What is the purpose of VRF-Aware IPSec in Cisco IOS, and how do we configure it to map IPsec tunnels to VPN instances?","SECURITY","desacuerdo","SECURITY","ROUTING","SECURITY","openai"
"2176","What is the correct configuration to set the timezone for the router?","MONITORING","desacuerdo","MONITORING","GENERAL","MONITORING","openai"
