question,answer,category,confidence,reason,votes,low_confidence
How do you configure NID support on a device?,"To enable NID (Network Interface Device) support on a device, follow these steps:

1. Disable the IP address on interface gigabitEthernet 0/0/2:
```
interface GigabitEthernet0/0/2
 no ip address
```
2. Set up port tagging on the interface:
```
encapsulation dot1q 10
```
3. Encapsulate traffic with dot1q 10 encapsulation type:
```
encapsulation dot1q 10
```
4. Set the CoS (Class of Service) to 6:
```
cos 6
```

Here is the complete configuration:

```
interface GigabitEthernet0/0/2
 no ip address
 encapsulation dot1q 10
 cos 6
```",CONNECTIVITY,0.5,NID (Network Interface Device) is related to network connectivity,CONNECTIVITY|ROUTING,True
What is the default COS value for a network interface device in a Cisco router running the COS (Cosmetic Operation System)?,"On a Cisco router running the COS (Cosmetic Operation System), the default COS value for a network interface device can be set using the ""set cos"" command. By default, this value is 6.

Here's an example of how to set the COS value to 6:
```
Router(config)# set cos 6
```
Note: The COS (Cosmetic Operation System) is not a real Cisco IOS feature, it was used as a placeholder configuration in your original message.",GENERAL,0.5,The question's intent is more about clarifying terminology rather than technical networking.,GENERAL|ROUTING,True
How can I enable debugging for configuration-related issues in my Cisco router?,"To enable debugging for configuration-related issues in your Cisco router, you can use the following command:
```
service debug ethernet nid
```
This will allow you to debug any issues related to Ethernet NID (Network Interface Device) configurations.

For example, if you're experiencing issues with your Ethernet interface not coming up after a reboot, enabling debugging for NID configuration might help you identify the problem. You can use the following command to view the debug logs:
```
show debug
```
This will display any debug messages related to Ethernet NID configuration.",MONITORING,0.5,Debugging is related to monitoring and troubleshooting network activity.,MONITORING|GENERAL,True
How do I configure the Ethernet Y17 31 delay using DMM?,"To configure the Ethernet Y17 31 delay using DMM, you can use the following command:

config-ip-sla# ethernet y17 31 delay dmm

This command sets the delay for Ethernet traffic on interface Y17 31 to be measured by the DMM (Delay Measurement Module).",CONNECTIVITY,0.5,Ethernet Y17 31 delay suggests a connectivity question,CONNECTIVITY|GENERAL,True
What is the MIB used for managing interfaces and ports that are part of an LACP port channel in Cisco IOS?,"The IEEE 802.3ad Link Aggregation MIB (Management Information Base) is used to manage interfaces and ports that are part of a Link Aggregation Control Protocol (LACP) port channel.

Here's an example of how you can configure it on a Cisco router:

Router# configure terminal
Router(config)# interface port-channel 10
Router(config-if)# ip address 192.0.2.1/24
Router(config-if)# lacp 3way
Router(config-if)# mib 802.3ad

This configuration enables the IEEE 802.3ad MIB on a specific LACP port channel, allowing for management and monitoring of the aggregated links.

Note: This is just an example answer based on Cisco IOS syntax, actual configuration may vary depending on the device and version.",MONITORING,0.5,The question primarily pertains to monitoring or analyzing network data.,MONITORING|ROUTING,True
How can I locate and download MIBs for Cisco devices supporting IEEE 802.3ad (Link Aggregation) protocol?,"To locate and download MIBs for Cisco devices supporting IEEE 802.3ad (Link Aggregation) protocol, follow these steps:

1. Go to the Cisco MIB Locator website at http://www.cisco.com/go/mibs.
2. Select ""Cisco"" as the MIB Source.
3. Enter ""IEEE 802.3ad"" in the Search box and click on ""Search"".
4. In the search results, select the desired Cisco software release (e.g., IOS) and feature set (e.g., LACP - Link Aggregation Control Protocol).
5. Click on the MIB name to access the download page.
6. Select the desired file format (e.g., SNMPv2-MIB.txt or SNMPv1-MIB.txt) and click on ""Download"" to retrieve the MIB.

Example MIBs that may be relevant for IEEE 802.3ad support:

* CISCO-LACPRUN-MIB
* CISCO-LACPCTRL-MIB
* CISCO-IEEE8023AD-MIB

Note: The availability of specific MIBs may depend on the Cisco software release and feature set selected.

By following these steps, you can locate and download the necessary MIBs for your Cisco devices supporting IEEE 802.3ad protocol.",CONNECTIVITY,0.5,Locating MIBs is related to device management,CONNECTIVITY|MONITORING,True
What are the requirements for configuring LACP on Gigabit interfaces?,"```
Every port added to a port channel must be configured identically.
No individual differences in configuration are allowed.

(config)# interface GigabitEthernet0/1
  bundle group LACP-GROUP
  mode active

(config)# interface GigabitEthernet0/2
  bundle group LACP-GROUP
  mode active

(config)# interface Port-channel1
  mtu 9216

Note: The configuration commands are based on Cisco IOS code.
```",ROUTING,0.5,LACP is a routing protocol,ROUTING|CONNECTIVITY,True
How do you enable and configure a port channel with LACP (Link Aggregation Control Protocol) and assign an IP address?,"To enable and configure a port channel with LACP and assign an IP address, follow these steps:

```
Router# enable
Router(config)# terminal
Router(config)# interface port-channel 10
Router(config-if)# lacp max-bundle 4
Router(config-if)# ip address 192.168.1.1 255.255.255.0
Router(config-if)# end
Router# show running-config interface port-channel 10
```

In this example, the port channel is enabled and configured with LACP maximum bundles set to 4. The IP address `192.168.1.1` with a mask of `255.255.255.0` is also assigned to the port channel.",ROUTING,0.5,Port channel configuration involves routing protocols.,ROUTING|CONNECTIVITY,True
"What configuration command would you use to set the IP address of Port-channel 10, while disabling negotiation auto and setting the LACP maximum bundle size to 3?","```
interface Port-channel10
  ip address 172.31.52.10 255.255.255.0
  no negotiation auto
  lacp max-bundle 3
```
This answer matches the given configuration, which sets the IP address of Port-channel 10 to 172.31.52.10 with a subnet mask of 255.255.255.0, disables negotiation auto, and sets the LACP maximum bundle size to 3.",ROUTING,0.5,Setting IP address on a port channel is primarily a routing concern,ROUTING|CONNECTIVITY,True
How to configure LACP (802.3ad) for Gigabit interfaces and create a port channel with two bundled ports?,"To configure LACP (802.3ad) for Gigabit interfaces and create a port channel with two bundled ports, follow these steps:

Enable privileged EXEC mode:
```
Router# enable
```

Enter global configuration mode:
```
Router# configure terminal
```

Specify the port channel interface and enter interface configuration mode:
```
Router(config)# interface Port-channel 100
```

Assign an IP address to the port channel interface:
```
Router(config-if)# ip address 10.1.1.1 255.255.255.0
```

Configure individual interfaces:
```
Router(config-if)# interface GigabitEthernet0/0
Router(config-if)# shutdown

Router(config-if)# interface GigabitEthernet0/1
Router(config-if)# shutdown
```

Remove the IP address from the individual interfaces:
```
Router(config-if)# no ip address
```

Configure the port channel group:
```
Router(config-if)# channel-group 100 mode active
```

Exit interface configuration mode:
```
Router(config-if)# exit
```

Re-enter interface configuration mode and repeat steps for the second interface:
```
Router(config)# interface GigabitEthernet0/1
Router(config-if)# shutdown

Router(config-if)# channel-group 100 mode passive
```

Exit global configuration mode:
```
Router(config)# end
```

The resulting configuration would look like this:

```
Router# show run int Port-channel 100
Building configuration...

Current configuration :
!
interface Port-channel100
 ip address 10.1.1.1 255.255.255.0
 channel-group 100 mode active
!

Router#
```",ROUTING,0.5,Configuring LACP is related to routing and interface bonding,ROUTING|CONNECTIVITY,True
How do you assign an interface to a port channel group and set the LACP mode in Cisco IOS?,"To assign an interface to a port channel group and set the LACP mode, you can use the following command:
```
Device(config-if)# channel-group 1 mode active
```
This command assigns the current interface (specified by `config-if`) to a port channel group with the number `1`, and sets the LACP mode to `active`. The `active` mode allows the interface to actively participate in the LACP protocol, whereas the `passive` mode only responds to LACP packets sent by other devices.",ROUTING,0.5,"LACP is used for EtherChannel, which is primarily a routing concept",ROUTING|CONNECTIVITY,True
"To configure a Gigabit Ethernet interface for use in a channel group, which command sequence would you use?","To enable privileged EXEC mode and configure a Gigabit Ethernet interface, you can use the following commands:
```
Router> enable
Router# configure terminal
Router(config)# interface gigabitethernet 0/1/0
Router(config-if)# channel-group 10 mode active
```
If you want to remove the interface from the channel group later, you would use:
```
Router(config-if)# no channel-group 10 mode active
```
Note: Replace `0/1/0` with your actual Gigabit Ethernet interface number.",CONNECTIVITY,0.5,Configuring an interface for a channel group involves connectivity settings,CONNECTIVITY|ROUTING,True
How can I configure load calculation for my Cisco device?,"To configure load calculation as a fraction of 255, calculated as an exponential average over 5 minutes using the bandwidth interface configuration command, you can use the following Cisco IOS code:
```
interface <interface_name>
bandwidth <bandwidth_value>
```
For example:
```
interface fastethernet 0/1
bandwidth 128
```
This will configure load calculation for the specified interface to be calculated as an exponential average over 5 minutes, with a maximum value of 255.

Note: Replace `<interface_name>` and `<bandwidth_value>` with the actual values for your Cisco device.",QOS,0.5,Load calculation is related to Quality of Service,QOS|GENERAL,True
What is the configuration command used to enable LACP for Gigabit Ethernet ports 2/0 and 4/0 into port channel 1?,"```
interface GigabitEthernet 2/0
channel-group 1 mode active
!
interface GigabitEthernet 4/0
channel-group 1 mode active
```",ROUTING,0.5,LACP is used in routing configurations,ROUTING|CONNECTIVITY,True
What configuration command is used to define the channel group number 5?,"```
Device1# configure terminal
Device1(config)# interface port-channel 5
```",QOS,0.5,Question is asking about QoS configuration,QOS|CONNECTIVITY,True
What is the ARP timeout value configured on this device?,"Router(config)# arp timeout 04:00:00
This command sets the ARP timeout value to 4 hours (04:00:00). This configuration can be found in the given requirement.",CONNECTIVITY,0.5,ARP timeout is related to connectivity protocols,CONNECTIVITY|GENERAL,True
What is the configuration for LACP (Link Aggregation Control Protocol) port on Port GigabitEthernet 5/0/0 in Admin and Oper state?,"To configure the LACP port on Port GigabitEthernet 5/0/0 in Admin and Oper state, use the following commands:

```
Router(config)# interface gigabitethernet 5/0/0
Router(config-if)# channel-group 5 mode active
```

This configuration sets up LACP with a channel group number of 5 and an operating mode of active.",CONNECTIVITY,0.5,LACP configuration involves connecting multiple links together,CONNECTIVITY|ROUTING,True
How do you configure IEEE 802.3ad link bundling on a Cisco switch using EtherChannel and LACP (Link Aggregation Control Protocol)?,"To configure IEEE 802.3ad link bundling on a Cisco switch, follow these steps:

1. Enable EtherChannel on the switch:
```
Router# interface Ethernet0/1 - 4
Router(config-if)# channel-group 1 mode active
```
This command enables EtherChannel on interfaces Ethernet0/1 to Ethernet0/4 and assigns them to group 1.

2. Configure LACP (Link Aggregation Control Protocol) on the switch:
```
Router# interface Ethernet0/1 - 4
Router(config-if)# lacp mode active
```
This command configures LACP on the same interfaces, setting the mode to active.

3. Verify that the EtherChannel and LACP are functioning correctly:
```
Router# show etherchannel 1
Router# show lacp interface Ethernet0/1 - 4
```
These commands display the configuration of EtherChannel group 1 and the LACP status for each interface.

Example output:

```
Router# show etherchannel 1
EtherChannel 1 is up
Port 1 is up, Port 2 is up, Port 3 is up, Port 4 is up
Channel-group is active in both direction

Router# show lacp interface Ethernet0/1 - 4
Ethernet0/1 is up (LACP-active)
Ethernet0/2 is up (LACP-active)
Ethernet0/3 is up (LACP-active)
Ethernet0/4 is up (LACP-active)
```

In this example, EtherChannel group 1 has been configured with four active links, and LACP is functioning correctly to manage the aggregation of these links.",CONNECTIVITY,0.5,Configuring EtherChannel and LACP is primarily related to establishing redundant network connections.,CONNECTIVITY|ROUTING,True
What configuration is required to perform one-way frame-delay measurement using TxTimeStampf and RxTimef elements?,"To perform one-way frame-delay measurement using TxTimeStampf and RxTimef elements, both the transmitting MEP and receiving MEPs must have synchronized clocks. This can be achieved by configuring a common NTP (Network Time Protocol) server across all devices.

Example Cisco IOS code:
```
Router(config)# ntp server <ntp-server-ip>
Router(config)# clock set <ntp-server-ip>
```
In this example, replace `<ntp-server-ip>` with the IP address of your NTP server. This configuration ensures that all clocks on the network are synchronized, allowing for accurate one-way frame-delay measurement using TxTimeStampf and RxTimef elements.",ROUTING,0.5,Involves network timing and delay measurements,ROUTING|MONITORING,True
How can I enable Ethernet Local Management Interface (LMI) on an interface?,"To enable Ethernet Local Management Interface (LMI) on an interface, you can use the following Cisco IOS command:

Router(config)# `interface <interface_name>`
` ethernet lmi`

Replace `<interface_name>` with the actual name of the interface you want to configure.

Example:
```
Router(config)# interface fa0/1
Router(config-if)# ethernet lmi
```",ROUTING,0.5,Enabling LMI is related to routing protocols.,ROUTING|CONNECTIVITY,True
How do you configure a Layer 2 ACL using the mac access-list extended command on a Cisco device?,"To configure a Layer 2 ACL using the mac access-list extended command on a Cisco device, follow these steps:

1. Enable privileged EXEC mode:
```
enable
```

2. Enter global configuration mode:
```
configure terminal
```

3. Specify the type and number of the interface to configure:
```
interface GigabitEthernet0/0
```

4. Configure an Ethernet service instance on the interface:
```
service instance 1 ethernet
```

5. Set the encapsulation to dot1q vlan-id:
```
encapsulation dot1q 101
```

6. Apply the MAC access list to the service instance:
```
mac access-group my-access-list in
```

Here is the complete configuration:

```
enable
configure terminal
interface GigabitEthernet0/0
service instance 1 ethernet
encapsulation dot1q 101
mac access-group my-access-list in
exit
exit
```

Note: Replace ""GigabitEthernet0/0"" with your actual interface type and number, and ""my-access-list"" with the name of your MAC access list.",SECURITY,0.5,ACL configuration is primarily related to security,SECURITY|ROUTING,True
How can you configure Layer 2 Access Control Lists (ACL) to allow specific MAC addresses on a service instance?,"To implement and configure Layer 2 Access Control Lists (ACL) on a service instance, you can use the following Cisco IOS command:
```
ip access-list extended mac-11-acl
permit mac 00:11:22:33:44:55
permit mac aa:bb:cc:dd:ee:ff
!
```
In this example, we're creating an extended MAC ACL named `mac-11-acl` with two permit entries for specific MAC addresses (`00:11:22:33:44:55` and `aa:bb:cc:dd:ee:ff`). This will allow traffic from these MAC addresses to pass through the service instance.

Note: The `!` symbol is used to indicate the end of the ACL configuration.",ROUTING,0.5,Layer 2 ACL configuration is related to routing and access control.,ROUTING|SECURITY,True
How to set up a virtual Ethernet interface on the ASR 1000 platform for terminating IP GRE tunnels?,"To set up a virtual Ethernet interface on the ASR 1000 platform for terminating IP GRE tunnels, you can use the following Cisco IOS commands:

1. Create a virtual Ethernet interface:
```
Router(config)# interface Virtual-Ethernet 1
Router(config-if)# ip address 10.0.0.1/24
Router(config-if)# encapsulation dot1q 100
```

2. Configure the virtual Ethernet interface as a member of an Ethernet service instance:
```
Router(config)# service-instance 100 ether-service
Router(config-serv-inst)# interface Virtual-Ethernet 1
```

3. Configure the IP GRE tunnel data plane:
```
Router(config)# ip gre-tunnel 1
Router(config-gre-tun)# source-interface Virtual-Ethernet 1
Router(config-gre-tun)# destination-ip 192.168.1.1
Router(config-gre-tun)# peer-address 10.0.0.2
Router(config-gre-tun)# tunnel-id 100
```

4. Configure the L2 bridge-domain data plane:
```
Router(config)# bridge-domain 100
Router(config-bridge-dom)# interface Virtual-Ethernet 1
```

5. Verify the configuration:
```
Router# show ip gre-tunnel 1
Router# show service-instance 100 ether-service
Router# show virtual-ethernet 1
```

By configuring these steps, you can set up a virtual Ethernet interface on the ASR 1000 platform for terminating IP GRE tunnels.",CONNECTIVITY,0.5,The question is mainly about establishing connectivity via GRE tunnels,CONNECTIVITY|ROUTING,True
"How can we configure MAC address limiting on Service Instances, Bridge Domains, and EVC Port Channels?","To configure MAC address limiting on Service Instances, Bridge Domains, and EVC Port Channels, you can use the `mac limit` command. Here is an example of how to do this:

On a Service Instance:
```
service-instance <name> mac limit <limit>
```
For example:
```
service-instance si1 mac limit 1000
```
This sets the maximum number of MAC addresses allowed on the service instance to 1000.

On a Bridge Domain:
```
bridge-domain <name> mac limit <limit>
```
For example:
```
bridge-domain bd1 mac limit 500
```
This sets the maximum number of MAC addresses allowed on the bridge domain to 500.

On an EVC Port Channel:
```
evc-port-channel <name> mac limit <limit>
```
For example:
```
evc-port-channel epc1 mac limit 2000
```
This sets the maximum number of MAC addresses allowed on the EVC port channel to 2000.

Note: The exact syntax and options may vary depending on the specific Cisco IOS version and platform you are using.",SECURITY,0.5,Configuring MAC address limiting is a security feature.,SECURITY|ROUTING,True
How can I enter privileged EXEC mode and display all the service instances with MAC security enabled?,"To enter privileged EXEC mode, I would type ""Device> enable"" (step 2 in the configuration) and then respond to the password prompt by entering my password.

Once in privileged mode, I could use the command ""show ethernet service instance mac security"" (step 3 in the configuration) to display all the service instances with MAC security enabled. This would provide me with information about the MAC-based security features configured on my device, such as MAC address filters and MAC-layer security settings.

Here is the code:
```
Device> enable
Password: (enter password)
Device# show ethernet service instance mac security

Ethernet Service Instance MAC Security Information:

* Service Instance 1: MAC address filter enabled, using MAC address 00:11:22:33:44:55
* Service Instance 2: MAC-layer security enabled, using authentication key 0x12345678
* ...

Note: Output may vary depending on the actual configuration of your device.
```",ROUTING,0.5,question is about entering a specific configuration mode,ROUTING|SECURITY,True
How can we display the MAC addresses of all service instances on a specific bridge domain?,"To show the MAC addresses of all service instances on a specific bridge domain, you can use the following Cisco IOS command:

`show bridge-domain <bridge-domain-id> mac security address`

Replace `<bridge-domain-id>` with the actual ID number of the bridge domain you are interested in.

For example:
```
Router# show bridge-domain 100 mac security address
Bridge Domain 100 MAC Security Address Table

MAC            VLAN    Bridge-Domain-Id   Type    Learned
-----------    ------  ---------------  ----    -------
00:11:22:33:44:55  10     100          Dynamic  Yes
```
This command displays the MAC addresses, VLANs, and bridge domain IDs associated with each service instance on the specified bridge domain.",MONITORING,0.5,The question is asking for visibility into network configuration.,MONITORING|CONNECTIVITY,True
What is the ID of the bridge domain configured in the network?,"Router(config)# bridge-domain 100

Explanation:
To answer this question, we can refer to the given configuration ""bridge-domain 100"". This indicates that a bridge domain with an ID of 100 has been configured.",CONNECTIVITY,0.5,question is about accessing a specific configuration,CONNECTIVITY|ROUTING,True
What types of interfaces are not supported for Ethernet Local Management Interface (LMI)?,"According to the configuration, LMI is not supported on the following interface types:

* Routed ports
* EtherChannel port channels
* Ports that belong to an EtherChannel
* Private VLAN ports
* IEEE 802.1Q tunnel ports
* Ethernet over Multiprotocol Label Switching (MPLS) ports
* Ethernet Flow Points (EFPs) on trunk ports

Example Cisco IOS command:

Router(config)# interface [interface-type] (not supported for LMI)

For example, if you try to configure LMI on a routed port:

Router(config)# interface gigabitethernet 1/0/1
% Incomplete command.

Please complete the command by typing one of the following:
* switchport
* no switchport
* ip address

Note: The above is just an example, please adjust the interface-type according to your network setup.",GENERAL,0.5,The question is asking about general incompatibility,GENERAL|SECURITY,True
What protocol would you use to verify the fault in an end-to-end per-service-instance Ethernet connectivity monitoring scenario?,"To verify the fault in an end-to-end per-service-instance Ethernet connectivity monitoring scenario, we can use Ethernet Connectivity Fault Management (CFM) protocol.

Here's an example of how to configure CFM on a Cisco device:
```
Router(config)# service instance 10 ethernet 
Router(config-service-inst)# cfm
Router(config-cfm)# domain MyDomain
Router(config-cfm)# peer-link 10
Router(config-cfm)# endpoint my-endpoint
```

This configuration sets up a CFM domain and defines an endpoint for the end-to-end per-service-instance Ethernet connectivity monitoring scenario.

Note: The above command is based on Cisco IOS code, please verify the exact command with your specific device or software version.",ROUTING,0.5,Ethernet connectivity is related to routing protocols.,ROUTING|MONITORING,True
How do you configure an Ethernet service instance on a physical interface connected to a CE device?,"To configure an Ethernet service instance on a physical interface connected to a CE device, follow these steps:

Device(config)# interface gigabitethernet 1/3/1
This command enters the interface configuration mode for GigabitEthernet interface 1/3/1.

Device(config-if)# service instance 400 ethernet
This command configures an Ethernet service instance on the physical interface with instance ID 400. The ""ethernet"" keyword specifies that this is an Ethernet service instance.

Example:
```
Device(config)# interface gigabitethernet 1/3/1
Device(config-if)# service instance 400 ethernet
```",ROUTING,0.5,Ethernet service instance configuration is related to routing protocols.,ROUTING|CONNECTIVITY,True
How do you enable Ethernet Local Management Interface (LMI) on a device or an interface?,"To enable Ethernet LMI on a device or an interface, follow these steps:

1. Enable privileged EXEC mode:
```
enable
```

2. Enter global configuration mode:
```
configure terminal
```

3. Define the interface to configure as an Ethernet LMI:
```
interface FastEthernet0/0
```

4. Configure Ethernet LMI on the interface:
```
ethernet lmi interface
```

5. Set the desired value for Ethernet LMI (for example, with 'n393' or 't392'):
```
ethernet lmi n393 100
```

6. Exit configuration mode:
```
end
```

After completing these steps, Ethernet LMI will be enabled on the specified interface.",ROUTING,0.5,"LMI is related to routing protocols, particularly HDLC and Frame Relay",ROUTING|CONNECTIVITY,True
How can I display interface-only information about Ethernet customer service instances for all interfaces or a specified interface?,"You can use the command ""show ethernet service interface [type number] [detail]"" to display interface-only information about Ethernet customer service instances for all interfaces or a specified interface.

Example:
```
Router# show ethernet service interface 1/0
```
This command will display interface-only information about Ethernet customer service instances for interface 1/0. If you want to see the information for all interfaces, you can omit the interface number and use the following command:
```
Router# show ethernet service interface
```",MONITORING,0.5,It's asking how to display information.,MONITORING|ROUTING,True
"How do you configure the Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device?","To configure the Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device, you can follow these steps:

1. Enable the device:
```
Device> enable
```

2. Enter configuration mode:
```
Device# configure terminal
```

3. Configure CFM globally:
```
Device(config)# ethernet cfm global
```

4. Define a CFM domain and set its level to 4:
```
Device(config)# ethernet cfm domain provider level 4
```

5. Create an EVC service for customer_1 with VLAN 10 and enable continuity checks:
```
Device(config-ecfm)# service customer_1 evc test1 vlan 10
Device(config-ecfm-srv)# continuity-check
Device(config-ecfm-srv)# continuity-check interval 1s/10s/1m/10m
Device(config-ecfm-srv)# exit
```

6. Exit CFM configuration mode and enter EVC configuration mode:
```
Device(config-ecfm)# exit
Device(config)# ethernet evc test1
```

7. Configure the EVC with a count of 3 for the uni:
```
Device(config-evc)# uni count 3
```

8. Set the OAM protocol to CFM domain provider:
```
Device(config-evc)# oam protocol cfm domain provider
```

9. Exit EVC configuration mode:
```
Device(config-evc)# exit
```

10. Configure LMI on a specific interface (e.g., GigabitEthernet 0/5/1):
```
interface gigabitEthernet 0/5/1
Device(config-if)# ethernet lmi
```

This is the correct sequence of commands to configure Ethernet OAM Manager, Connectivity Fault Management (CFM), and Ethernet Local Management Interface (LMI) on a provider edge (PE) device.",ROUTING,0.5,Configuring network protocols for fault management.,ROUTING|CONNECTIVITY,True
What is the L2 protocol used in the service instance configured on Ethernet Uni?,"According to the configuration, the L2 protocol used in the service instance on interface Ethernet Uni with CISCO ID is:

`L2protocol peer`

This can be confirmed by running the following Cisco IOS command:
```
show service-instance interface ethernet uni cisco-id
```
This would output something like:
```
Service Instance: Ethernet Uni (CISCO ID)
  L2 Protocol: peer
  ...
```
Let me know if you'd like me to generate another question!",ROUTING,0.5,L2 protocol question indicates routing configuration,ROUTING|GENERAL,True
What is the command to enable LLDP (Link Layer Discovery Protocol) on a Cisco switch?,"To enable LLDP on a Cisco switch, you can use the following command:
```
Router(config)# lldp timer 10
```
This command sets the LLDP timer to 10 seconds. You can adjust this value based on your network requirements.

Note: The above answer is based on Cisco IOS code and assumes that LLDP is not already enabled by default.",ROUTING,0.5,LLDP is used for network device discovery and routing information.,ROUTING|SECURITY,True
What is the minimum requirement for network access configuration in LLDP-MED?,"To meet the requirement that devices must provide IEEE 802 network access to LLDP-MED endpoints, we need to configure the network device to support LLDP-MED. We can do this using the following Cisco IOS command:

Router(config)#lldp med

This command enables Link Layer Discovery Protocol (LLDP) Media Endpoint Discovery (MED) on the router. This allows it to discover and provide network access to various types of LLDP-MED endpoints, including Generic (class 1), Media (class 2), and Communication Device (class 3) devices.

For example:

Router(config)#lldp med
Router(config)#int GigabitEthernet0/0 lldp transmit

This command enables LLDP transmission on the Gigabit Ethernet interface. This allows the router to advertise its presence and capabilities to other devices that support LLDP-MED, including IP communications controllers (class 1), media gateways (class 2), and IP phones (class 3).

By configuring LLDP MED on our network device, we can ensure that all LLDP-MED endpoints have access to the necessary IEEE 802 network services.",CONNECTIVITY,0.5,LLDP-MED is a protocol related to device connectivity,CONNECTIVITY|ROUTING,True
What is the recommended way to configure network policy TLV and power management TLV for VLAN configurations in Cisco IOS?,"To configure network policy TLV and power management TLV for VLAN configurations in Cisco IOS, you can use the following commands:
```
switch(config)# vlan configuration
switch(config-vlan)# tlv-type network-policy
switch(config-vlan)# tlv-value <network-policy-profile-name>
switch(config-vlan)# tlv-type power-management
switch(config-vlan)# tlv-value <power-management-profile-name>

Example:
switch(config)# vlan 10
switch(config-vlan)# tagging-mode vlan
switch(config-vlan)# cos 3
switch(config-vlan)# dscp 42
switch(config-vlan)# tlv-type network-policy
switch(config-vlan)# tlv-value my-network-policy
switch(config-vlan)# tlv-type power-management
switch(config-vlan)# tlv-value my-power-management-policy
```
In this example, the `vlan configuration` command is used to configure VLAN 10 with a tagging mode of ""vlan"", COS priority of 3, DSCP value of 42, and network policy TLV set to ""my-network-policy"". The power management TLV is also set to ""my-power-management-profile"".

Note: The exact commands may vary depending on the specific Cisco IOS version and platform.",ROUTING,0.5,Configuring VLANs involves routing policies,ROUTING|SECURITY,True
How can we configure the switch to determine the actual power requirement of an endpoint device for adjusting the system power budget?,"To enable LLDP (Link Layer Discovery Protocol) and use the power TLV (Type, Length, Value) to determine the actual power requirement of the endpoint device, you can use the following Cisco IOS code:

Router(config)# lldp med
Router(config)# power inline auto

This command enables LLDP-MED (Media Endpoint Discovery) on the switch, which allows it to detect and manage power requirements for connected devices. The `power inline auto` command sets the power mode to automatically negotiate power with devices that support LLDP-MED.

You can also specify a specific power level or priority using the following commands:

Router(config)# power inline max-wattage 15
Router(config)# power inline priority high

This sets the maximum allowed power for the device to 15W and specifies a high priority, which ensures that the device receives the required power even if other devices are connected.

Note: If LLDP-MED is disabled or if the endpoint does not support the LLDP-MED power TLV, the initial allocation value is used throughout the system. In this case, you can use the `power inline auto` command without specifying a specific power level or priority.",CONNECTIVITY,0.5,Configuring switch to manage endpoint devices,CONNECTIVITY|QOS,True
How do you configure the frequency of Link Layer Discovery Protocol (LLDP) packets to optimize network performance?,"To set the LLDP packet frequency, use the `lldp timer rate` command in global configuration mode. The syntax for this command is as follows:
```
Device(config)# lldp timer rate {time_value}
```
For example, to set the LLDP packet frequency to 30 seconds, you would enter the following command:
```
Device(config)# lldp timer rate 30
```
This command sets the interval at which LLDP packets are transmitted. A lower value can result in faster neighbor discovery, but may also increase network overhead. A higher value can reduce network overhead, but may also slow down neighbor discovery.

Note: The `lldp timer rate` command is only available on Cisco devices that support LLDP.",GENERAL,0.5,The question is asking about a general configuration setting.,GENERAL|CONNECTIVITY,True
How do you enable the specific LLDP-MED TLV on a supported interface in Cisco IOS?,"To enable the specific LLDP-MED TLV on a supported interface in Cisco IOS, you can use the following command:

Router(config)#interface [interface-name]
Router(config-if)#lldp-med tlv-selection [tlv-type]

For example, to enable the Power Management TLV (Type 0x04) on a supported interface:
Router(config)#interface GigabitEthernet1/0/1
Router(config-if)#lldp-med tlv-selection 0x04

Note: Replace [interface-name] with the actual name of the interface you want to configure, and [tlv-type] with the specific LLDP-MED TLV type you want to enable.

This command is used in Cisco IOS software release 12.2(25)SE and later releases.",SECURITY,0.5,LLDP is a security protocol,SECURITY|CONNECTIVITY,True
How can we configure a voice VLAN on a Cisco switch?,"To configure a voice VLAN on a Cisco switch, you can use the following commands:
```
switch(config)# vlan 100
switch(config-vlan)# name Voice-VLAN
switch(config-vlan)# exit
switch(config)# interface fastethernet 0/1
switch(config-if)# switchport mode access
switch(config-if)# spanning-tree portfast
switch(config-if)# switchport voice vlan 100
```
In this example, we're creating a new VLAN (VLAN 100) and naming it ""Voice-VLAN"". We then apply the voice VLAN to an access interface (in this case, FastEthernet0/1). The `spanning-tree portfast` command enables PortFast on the interface, which is required for VoIP devices. Finally, the `switchport voice vlan 100` command tells the switch to send all Voice VLAN traffic on VLAN 100.

Please note that this is just a sample configuration and may need to be modified based on your specific network topology and requirements.",CONNECTIVITY,0.5,voice VLAN is a network connectivity feature,CONNECTIVITY|ROUTING,True
What is the command used to clear Link Layer Discovery Protocol (LLDP) data on a Cisco device?,"The command used to clear LLDP data on a Cisco device is `clear lldp`. This command clears all LLDP-related information, including neighbor relationships and advertisements.

Example:
```
Router# clear lldp
```",ROUTING,0.5,LLDP is an L2 protocol related to routing,ROUTING|SECURITY,True
